# energy(eV) alpha
0.000000000000000000e+00 0.000000000000000000e+00
1.760000000000000106e-02 0.000000000000000000e+00
3.520000000000000212e-02 0.000000000000000000e+00
5.279999999999999971e-02 0.000000000000000000e+00
7.049999999999999323e-02 0.000000000000000000e+00
8.809999999999999776e-02 0.000000000000000000e+00
1.057000000000000023e-01 0.000000000000000000e+00
1.233000000000000068e-01 0.000000000000000000e+00
1.408999999999999975e-01 0.000000000000000000e+00
1.585000000000000020e-01 0.000000000000000000e+00
1.761000000000000065e-01 0.000000000000000000e+00
1.937000000000000111e-01 0.000000000000000000e+00
2.114000000000000046e-01 0.000000000000000000e+00
2.290000000000000091e-01 0.000000000000000000e+00
2.466000000000000136e-01 0.000000000000000000e+00
2.641999999999999904e-01 0.000000000000000000e+00
2.817999999999999949e-01 0.000000000000000000e+00
2.993999999999999995e-01 0.000000000000000000e+00
3.170000000000000040e-01 0.000000000000000000e+00
3.346000000000000085e-01 0.000000000000000000e+00
3.523000000000000020e-01 0.000000000000000000e+00
3.699000000000000066e-01 0.000000000000000000e+00
3.875000000000000111e-01 0.000000000000000000e+00
4.051000000000000156e-01 0.000000000000000000e+00
4.227000000000000202e-01 0.000000000000000000e+00
4.403000000000000247e-01 0.000000000000000000e+00
4.578999999999999737e-01 0.000000000000000000e+00
4.756000000000000227e-01 0.000000000000000000e+00
4.932000000000000273e-01 0.000000000000000000e+00
5.108000000000000318e-01 0.000000000000000000e+00
5.283999999999999808e-01 0.000000000000000000e+00
5.460000000000000409e-01 0.000000000000000000e+00
5.635999999999999899e-01 0.000000000000000000e+00
5.812000000000000499e-01 0.000000000000000000e+00
5.987999999999999989e-01 0.000000000000000000e+00
6.165000000000000480e-01 0.000000000000000000e+00
6.340999999999999970e-01 0.000000000000000000e+00
6.516999999999999460e-01 0.000000000000000000e+00
6.693000000000000060e-01 0.000000000000000000e+00
6.868999999999999551e-01 0.000000000000000000e+00
7.045000000000000151e-01 0.000000000000000000e+00
7.220999999999999641e-01 0.000000000000000000e+00
7.397000000000000242e-01 0.000000000000000000e+00
7.573999999999999622e-01 0.000000000000000000e+00
7.750000000000000222e-01 0.000000000000000000e+00
7.925999999999999712e-01 0.000000000000000000e+00
8.102000000000000313e-01 0.000000000000000000e+00
8.277999999999999803e-01 0.000000000000000000e+00
8.454000000000000403e-01 0.000000000000000000e+00
8.629999999999999893e-01 0.000000000000000000e+00
8.806000000000000494e-01 0.000000000000000000e+00
8.982999999999999874e-01 0.000000000000000000e+00
9.159000000000000474e-01 0.000000000000000000e+00
9.334999999999999964e-01 0.000000000000000000e+00
9.510999999999999455e-01 0.000000000000000000e+00
9.687000000000000055e-01 0.000000000000000000e+00
