# energy(eV) alpha
0.000000000000000000e+00 0.000000000000000000e+00
4.329999999999999821e-02 0.000000000000000000e+00
8.669999999999999929e-02 0.000000000000000000e+00
1.300000000000000044e-01 0.000000000000000000e+00
1.733000000000000096e-01 0.000000000000000000e+00
2.165999999999999870e-01 0.000000000000000000e+00
2.600000000000000089e-01 0.000000000000000000e+00
3.033000000000000140e-01 0.000000000000000000e+00
3.466000000000000192e-01 0.000000000000000000e+00
3.899000000000000243e-01 0.000000000000000000e+00
4.333000000000000185e-01 0.000000000000000000e+00
4.766000000000000236e-01 0.000000000000000000e+00
5.199000000000000288e-01 0.000000000000000000e+00
5.633000000000000229e-01 0.000000000000000000e+00
6.066000000000000281e-01 0.000000000000000000e+00
6.499000000000000332e-01 0.000000000000000000e+00
6.932000000000000384e-01 0.000000000000000000e+00
7.366000000000000325e-01 0.000000000000000000e+00
7.799000000000000377e-01 0.000000000000000000e+00
8.232000000000000428e-01 0.000000000000000000e+00
8.665000000000000480e-01 0.000000000000000000e+00
9.099000000000000421e-01 0.000000000000000000e+00
9.532000000000000473e-01 0.000000000000000000e+00
9.965000000000000524e-01 0.000000000000000000e+00
1.039800000000000058e+00 0.000000000000000000e+00
1.083199999999999941e+00 0.000000000000000000e+00
1.126500000000000057e+00 0.000000000000000000e+00
1.169799999999999951e+00 0.000000000000000000e+00
1.213200000000000056e+00 0.000000000000000000e+00
1.256499999999999950e+00 0.000000000000000000e+00
1.299800000000000066e+00 0.000000000000000000e+00
1.343099999999999961e+00 0.000000000000000000e+00
1.386500000000000066e+00 0.000000000000000000e+00
1.429799999999999960e+00 0.000000000000000000e+00
1.473100000000000076e+00 0.000000000000000000e+00
1.516399999999999970e+00 0.000000000000000000e+00
1.559800000000000075e+00 0.000000000000000000e+00
1.603099999999999969e+00 0.000000000000000000e+00
1.646400000000000086e+00 0.000000000000000000e+00
1.689799999999999969e+00 0.000000000000000000e+00
1.733100000000000085e+00 0.000000000000000000e+00
1.776399999999999979e+00 0.000000000000000000e+00
1.819700000000000095e+00 0.000000000000000000e+00
1.863099999999999978e+00 0.000000000000000000e+00
1.906400000000000095e+00 0.000000000000000000e+00
1.949699999999999989e+00 0.000000000000000000e+00
1.993000000000000105e+00 0.000000000000000000e+00
2.036399999999999988e+00 0.000000000000000000e+00
2.079699999999999882e+00 0.000000000000000000e+00
2.123000000000000220e+00 0.000000000000000000e+00
2.166300000000000114e+00 0.000000000000000000e+00
2.209700000000000220e+00 0.000000000000000000e+00
2.253000000000000114e+00 1.254056671302755355e+01
2.296300000000000008e+00 2.049663154825809386e+02
2.339700000000000113e+00 6.373306177125630256e+02
2.383000000000000007e+00 1.388855752288886606e+03
2.426299999999999901e+00 2.498785903938574393e+03
2.469599999999999795e+00 3.980487886061174777e+03
2.512999999999999901e+00 5.841802010641280503e+03
2.556299999999999795e+00 8.101590145891372231e+03
2.599600000000000133e+00 1.076311688476037489e+04
2.642900000000000027e+00 1.384812979222130525e+04
2.686300000000000132e+00 1.737865317455192780e+04
2.729600000000000026e+00 2.111719501932565981e+04
2.772899999999999920e+00 2.512727563987634130e+04
2.816300000000000026e+00 2.948150905746188437e+04
2.859599999999999920e+00 3.418910627736179595e+04
2.902899999999999814e+00 3.926464301665022504e+04
2.946200000000000152e+00 4.457329611928999657e+04
2.989599999999999813e+00 4.985780757722058479e+04
3.032900000000000151e+00 5.523273059020701476e+04
3.076200000000000045e+00 6.070145670993992826e+04
3.119499999999999940e+00 6.629031650084807188e+04
3.162900000000000045e+00 7.242093371349586232e+04
3.206199999999999939e+00 7.929447653086329228e+04
3.249499999999999833e+00 8.718606988738932705e+04
3.292899999999999938e+00 9.621323419209923304e+04
3.336199999999999832e+00 1.060377111694834894e+05
3.379500000000000171e+00 1.161395730215521908e+05
3.422800000000000065e+00 1.263920163324638270e+05
3.466200000000000170e+00 1.368075649132871476e+05
3.509500000000000064e+00 1.475875371410811786e+05
3.552799999999999958e+00 1.587701482032834610e+05
3.596099999999999852e+00 1.704584704092811153e+05
3.639499999999999957e+00 1.827994405340635858e+05
3.682799999999999851e+00 1.957929063968189585e+05
3.726100000000000190e+00 2.090623928366238251e+05
3.769400000000000084e+00 2.204892081035114825e+05
3.812800000000000189e+00 2.306862492604233557e+05
3.856100000000000083e+00 2.395044308760234853e+05
3.899399999999999977e+00 2.473990258210355241e+05
3.942800000000000082e+00 2.576875367954597750e+05
3.986099999999999977e+00 2.672058620327336248e+05
4.029399999999999871e+00 2.759356671795689617e+05
4.072700000000000209e+00 2.843585918821892119e+05
4.116100000000000314e+00 2.922667271536406479e+05
4.159399999999999764e+00 3.010341953930268646e+05
4.202700000000000102e+00 3.111915218512992142e+05
4.246000000000000441e+00 3.217773733321977197e+05
4.289399999999999658e+00 3.333153052213628544e+05
4.332699999999999996e+00 3.455899922140827985e+05
4.376000000000000334e+00 3.581549232564787962e+05
4.419400000000000439e+00 3.698743714508552221e+05
4.462699999999999889e+00 3.812158050182309817e+05
4.506000000000000227e+00 3.916284043320989585e+05
4.549299999999999677e+00 4.000768664479996078e+05
4.592699999999999783e+00 4.075102134554605000e+05
4.636000000000000121e+00 4.141246892244715127e+05
4.679299999999999571e+00 4.197664292764053098e+05
4.722599999999999909e+00 4.259428205257051159e+05
4.766000000000000014e+00 4.359516838790650363e+05
4.809300000000000352e+00 4.450114017576263286e+05
4.852599999999999802e+00 4.524597019131786656e+05
4.895999999999999908e+00 4.601844500465334277e+05
4.939300000000000246e+00 4.820325805841349647e+05
4.982599999999999696e+00 4.913547969207479618e+05
5.025900000000000034e+00 5.017469284663682920e+05
5.069300000000000139e+00 5.139330223641637713e+05
5.112599999999999589e+00 5.268582687360766577e+05
5.155899999999999928e+00 5.391704473346361192e+05
5.199200000000000266e+00 5.515151717458205530e+05
5.242600000000000371e+00 5.629361936650673160e+05
5.285899999999999821e+00 5.736808529507435160e+05
5.329200000000000159e+00 5.830979674555346137e+05
5.372499999999999609e+00 5.916567524245608365e+05
5.415899999999999714e+00 6.023359094842231134e+05
5.459200000000000053e+00 6.129797383746036794e+05
5.502500000000000391e+00 6.209664761788268806e+05
5.545899999999999608e+00 6.278348925565928221e+05
5.589199999999999946e+00 6.338892947118059965e+05
5.632500000000000284e+00 6.399312279006862082e+05
5.675799999999999734e+00 6.430259856585607631e+05
5.719199999999999839e+00 6.533439322315237951e+05
5.762500000000000178e+00 6.401908088668088894e+05
5.805799999999999628e+00 6.173733716601541964e+05
5.849099999999999966e+00 6.078457525690144394e+05
5.892500000000000071e+00 6.049082605614191853e+05
5.935800000000000409e+00 6.113145917763817124e+05
5.979099999999999859e+00 6.102334935914328089e+05
6.022499999999999964e+00 6.250454662490865448e+05
6.065800000000000303e+00 6.481520806555420859e+05
6.109099999999999753e+00 6.249851219546959037e+05
6.152400000000000091e+00 5.942135243187276646e+05
6.195800000000000196e+00 5.951807964438617928e+05
6.239099999999999646e+00 5.628319444890836021e+05
6.282399999999999984e+00 5.527780970482543344e+05
6.325700000000000323e+00 5.434783201612554258e+05
6.369100000000000428e+00 5.403983109408575110e+05
6.412399999999999878e+00 5.450291245766030625e+05
6.455700000000000216e+00 5.438481305435517570e+05
6.498999999999999666e+00 5.577685508740992518e+05
6.542399999999999771e+00 5.645763554163309745e+05
6.585700000000000109e+00 5.512066945049297065e+05
6.628999999999999559e+00 5.259409491493441164e+05
6.672399999999999665e+00 5.170159364019490313e+05
6.715700000000000003e+00 5.129421675353799365e+05
6.759000000000000341e+00 5.196953292968624155e+05
6.802299999999999791e+00 5.273959284663143335e+05
6.845699999999999896e+00 5.041892651365070487e+05
6.889000000000000234e+00 4.823958294176783529e+05
6.932299999999999685e+00 4.798405254464177415e+05
6.975600000000000023e+00 4.713373310086342390e+05
7.019000000000000128e+00 4.749254390479079448e+05
7.062299999999999578e+00 4.669192651820506435e+05
7.105599999999999916e+00 4.598065074645634741e+05
7.149000000000000021e+00 4.630423187753958046e+05
7.192300000000000360e+00 4.814675898281384143e+05
7.235599999999999810e+00 4.775326859780169907e+05
7.278900000000000148e+00 4.511569316326634143e+05
7.322300000000000253e+00 5.629466562871694332e+05
7.365599999999999703e+00 5.838800715433610603e+05
7.408900000000000041e+00 5.282395058513743570e+05
7.452200000000000379e+00 4.939498916957851616e+05
7.495599999999999596e+00 5.589971932616449194e+05
7.538899999999999935e+00 6.306685273883086629e+05
7.582200000000000273e+00 5.399858951507988386e+05
7.625600000000000378e+00 4.906601654366007424e+05
7.668899999999999828e+00 4.738951417678401922e+05
7.712200000000000166e+00 4.595458797766962089e+05
7.755499999999999616e+00 4.644838267366127111e+05
7.798899999999999721e+00 4.596203407875738922e+05
7.842200000000000060e+00 4.462083301711653476e+05
7.885500000000000398e+00 4.409880692002377473e+05
7.928799999999999848e+00 4.341908950682504219e+05
7.972199999999999953e+00 4.294343326963151922e+05
8.015499999999999403e+00 4.191367564798803069e+05
8.058799999999999741e+00 4.067826320010330528e+05
8.102100000000000080e+00 3.961669438573522493e+05
8.145500000000000185e+00 3.981590735399045516e+05
8.188800000000000523e+00 4.250736212387289852e+05
8.232100000000000861e+00 4.355461221821227227e+05
8.275499999999999190e+00 4.203542933794044075e+05
8.318799999999999528e+00 4.470431351438187994e+05
8.362099999999999866e+00 4.679416580751553993e+05
8.405400000000000205e+00 4.918286671302234172e+05
8.448800000000000310e+00 4.962085493617616594e+05
8.492100000000000648e+00 4.929277065103777568e+05
8.535399999999999210e+00 5.287109436040120199e+05
8.578699999999999548e+00 5.609541845933272270e+05
8.622099999999999653e+00 5.733640007709608180e+05
8.665399999999999991e+00 5.352998888830995420e+05
8.708700000000000330e+00 5.074403360066759051e+05
8.752100000000000435e+00 4.970587294158751029e+05
