# energy(eV) alpha
0.000000000000000000e+00 0.000000000000000000e+00
1.760000000000000106e-02 2.754130745444915718e+01
3.509999999999999926e-02 5.515072345508260554e+01
5.269999999999999685e-02 8.331440336342006958e+01
7.030000000000000138e-02 1.120485003078498494e+02
8.780000000000000304e-02 1.413605484699538692e+02
1.053999999999999937e-01 1.717495229641775722e+02
1.229999999999999982e-01 2.032329040318815885e+02
1.405000000000000138e-01 2.358126484508451597e+02
1.580999999999999905e-01 2.700062004208759276e+02
1.756000000000000061e-01 3.056456933415979051e+02
1.932000000000000106e-01 3.432456401741560512e+02
2.107999999999999874e-01 3.828366208295044544e+02
2.283000000000000029e-01 4.244303890728035071e+02
2.459000000000000075e-01 4.685774977081112525e+02
2.635000000000000120e-01 5.152852542909962494e+02
2.810000000000000275e-01 5.645450683469134674e+02
2.985999999999999766e-01 6.169625004209769941e+02
3.161999999999999811e-01 6.725617848927089426e+02
3.336999999999999966e-01 7.313266558496321750e+02
3.513000000000000012e-01 7.938962785514171401e+02
3.689000000000000057e-01 8.602880085211071446e+02
3.864000000000000212e-01 9.304876841366098006e+02
4.040000000000000258e-01 1.005195585942463254e+03
4.214999999999999858e-01 1.084151706282414807e+03
4.390999999999999903e-01 1.168078571611030384e+03
4.566999999999999948e-01 1.256943059930796153e+03
4.742000000000000104e-01 1.350720597537470212e+03
4.918000000000000149e-01 1.450263697798288376e+03
5.093999999999999639e-01 1.555562585451650421e+03
5.269000000000000350e-01 1.666534445600231038e+03
5.444999999999999840e-01 1.784085903283013295e+03
5.621000000000000441e-01 1.908249970439473373e+03
5.796000000000000041e-01 2.038950786651008457e+03
5.971999999999999531e-01 2.177154050629973426e+03
6.148000000000000131e-01 2.322822398875287035e+03
6.322999999999999732e-01 2.475841060871307945e+03
6.499000000000000332e-01 2.637280834764379961e+03
6.674999999999999822e-01 2.807112870833698253e+03
6.850000000000000533e-01 2.985213354432164579e+03
7.026000000000000023e-01 3.172750886427769274e+03
7.200999999999999623e-01 3.369181517985842675e+03
7.377000000000000224e-01 3.575778689531315194e+03
7.552999999999999714e-01 3.792408702124805131e+03
7.728000000000000425e-01 4.018894730498272111e+03
7.903999999999999915e-01 4.256733539119432862e+03
8.080000000000000515e-01 4.505798893656596192e+03
8.255000000000000115e-01 4.765839829647269653e+03
8.430999999999999606e-01 5.038356616785371443e+03
8.607000000000000206e-01 5.323183457297837776e+03
8.781999999999999806e-01 5.620093106462501055e+03
8.958000000000000407e-01 5.930767779655799131e+03
9.133999999999999897e-01 6.254976920956563845e+03
9.308999999999999497e-01 6.592396308292341018e+03
9.485000000000000098e-01 6.944834311774885464e+03
9.660999999999999588e-01 7.312074114531923442e+03
9.836000000000000298e-01 7.693764071843384045e+03
1.001200000000000090e+00 8.091914019352720061e+03
1.018699999999999939e+00 8.505414290577993597e+03
1.036299999999999999e+00 8.936282991177389704e+03
1.053900000000000059e+00 9.384087182987004780e+03
1.071399999999999908e+00 9.848403945829300937e+03
1.088999999999999968e+00 1.033155675160760075e+04
1.106600000000000028e+00 1.083320752468007413e+04
1.124100000000000099e+00 1.135291593809399637e+04
1.141699999999999937e+00 1.189308718826842414e+04
1.159299999999999997e+00 1.245321433559728212e+04
1.176800000000000068e+00 1.303260719194509693e+04
1.194399999999999906e+00 1.363390907715150570e+04
1.211999999999999966e+00 1.425664725934928720e+04
1.229500000000000037e+00 1.490010080185064908e+04
1.247100000000000097e+00 1.556716976127058297e+04
1.264599999999999946e+00 1.625584777292429317e+04
1.282200000000000006e+00 1.696913717337769049e+04
1.299800000000000066e+00 1.770625064465698597e+04
1.317299999999999915e+00 1.846633435238492166e+04
1.334899999999999975e+00 1.925273285793272589e+04
1.352500000000000036e+00 2.006454913582605877e+04
1.370000000000000107e+00 2.090073645219363607e+04
1.387599999999999945e+00 2.176480861984883086e+04
1.405200000000000005e+00 2.265577831692567270e+04
1.422700000000000076e+00 2.357248680005713322e+04
1.440299999999999914e+00 2.451870335561984757e+04
1.457899999999999974e+00 2.549332197722099954e+04
1.475400000000000045e+00 2.649504014015717257e+04
1.493000000000000105e+00 2.752787993360167093e+04
1.510599999999999943e+00 2.859058245357059059e+04
1.528100000000000014e+00 2.968172095040524800e+04
1.545700000000000074e+00 3.080560187885832784e+04
1.563199999999999923e+00 3.195872922691742497e+04
1.580799999999999983e+00 3.314552811213614041e+04
1.598400000000000043e+00 3.436459722056185274e+04
1.615899999999999892e+00 3.561440978905701195e+04
1.633499999999999952e+00 3.689963264817449817e+04
1.651100000000000012e+00 3.821838847859354428e+04
1.668600000000000083e+00 3.956868054500326980e+04
1.686199999999999921e+00 4.095593583260065498e+04
1.703799999999999981e+00 4.237820853141837142e+04
1.721300000000000052e+00 4.383309779190716654e+04
1.738899999999999890e+00 4.532635245961125474e+04
1.756499999999999950e+00 4.685602817743254855e+04
1.774000000000000021e+00 4.841958346693611384e+04
1.791600000000000081e+00 5.002273530931828282e+04
1.809199999999999919e+00 5.166318296744571853e+04
1.826699999999999990e+00 5.333836721893475624e+04
1.844300000000000050e+00 5.505441092681232840e+04
1.861799999999999899e+00 5.680573830440614256e+04
1.879399999999999959e+00 5.859870556643733289e+04
1.897000000000000020e+00 6.043063637737798854e+04
1.914500000000000091e+00 6.229857120334399951e+04
1.932099999999999929e+00 6.420922918115727225e+04
1.949699999999999989e+00 6.615969180614796642e+04
1.967200000000000060e+00 6.814674543554415868e+04
1.984799999999999898e+00 7.017747859271235939e+04
2.002400000000000180e+00 7.224872318693650595e+04
2.019899999999999807e+00 7.435701225107132632e+04
2.037500000000000089e+00 7.650981838784764113e+04
2.055099999999999927e+00 7.870370409081412072e+04
2.072599999999999998e+00 8.093492210888762202e+04
2.090199999999999836e+00 8.321133747607743135e+04
2.107699999999999907e+00 8.552518486550416856e+04
2.125300000000000189e+00 8.788460510745353531e+04
2.142900000000000027e+00 9.028570400463865371e+04
2.160400000000000098e+00 9.272425397366831021e+04
2.177999999999999936e+00 9.520880465455395461e+04
2.195600000000000218e+00 9.773517503894162655e+04
2.213099999999999845e+00 1.002988406217021984e+05
2.230700000000000127e+00 1.029087699676649063e+05
2.248299999999999965e+00 1.055604814122911048e+05
2.265800000000000036e+00 1.082491465783606254e+05
2.283399999999999874e+00 1.109841641050282633e+05
2.301000000000000156e+00 1.137607397014495946e+05
2.318499999999999783e+00 1.165737317025827215e+05
2.336100000000000065e+00 1.194329779339857778e+05
2.353699999999999903e+00 1.223333765880852152e+05
2.371199999999999974e+00 1.252694641474945674e+05
2.388799999999999812e+00 1.282515210717887385e+05
2.406299999999999883e+00 1.312686752467056795e+05
2.423900000000000166e+00 1.343315093764936028e+05
2.441500000000000004e+00 1.374343886817068851e+05
2.459000000000000075e+00 1.405713048981567845e+05
2.476599999999999913e+00 1.437532894601295702e+05
2.494200000000000195e+00 1.469743813422617677e+05
2.511699999999999822e+00 1.502282492352077679e+05
2.529300000000000104e+00 1.535263884377336653e+05
2.546899999999999942e+00 1.568625030567338981e+05
2.564400000000000013e+00 1.602299266754084674e+05
2.581999999999999851e+00 1.636406254119859368e+05
2.599600000000000133e+00 1.670879724296419590e+05
2.617100000000000204e+00 1.705649584726340545e+05
2.634700000000000042e+00 1.740840151837817975e+05
2.652299999999999880e+00 1.776381825610769156e+05
2.669799999999999951e+00 1.812201191395252536e+05
2.687399999999999789e+00 1.848427289570615394e+05
2.704899999999999860e+00 1.884917455679819395e+05
2.722500000000000142e+00 1.921803954735063890e+05
2.740099999999999980e+00 1.959011642011851363e+05
2.757600000000000051e+00 1.996461498286436836e+05
2.775199999999999889e+00 2.034290513160917035e+05
2.792800000000000171e+00 2.072420181709718890e+05
2.810299999999999798e+00 2.110768160465323599e+05
2.827900000000000080e+00 2.149476237468572508e+05
2.845499999999999918e+00 2.188462529221704463e+05
2.862999999999999989e+00 2.227641413013962156e+05
2.880599999999999827e+00 2.267159466417227814e+05
2.898200000000000109e+00 2.306931561101367697e+05
2.915700000000000180e+00 2.346868847031893965e+05
2.933300000000000018e+00 2.387122803781649563e+05
2.950800000000000090e+00 2.427522803529062949e+05
2.968399999999999928e+00 2.468223452968768543e+05
2.986000000000000210e+00 2.509134207768517954e+05
3.003499999999999837e+00 2.550160913337139937e+05
3.021100000000000119e+00 2.591462953822434356e+05
3.038699999999999957e+00 2.632946626333352760e+05
3.056200000000000028e+00 2.674514782040916034e+05
3.073799999999999866e+00 2.716331618526781094e+05
3.091400000000000148e+00 2.758300420321898418e+05
3.108900000000000219e+00 2.800320970713042771e+05
3.126500000000000057e+00 2.842562195370330010e+05
3.144099999999999895e+00 2.884924354108588304e+05
3.161599999999999966e+00 2.927304257863820530e+05
3.179199999999999804e+00 2.969875512104260270e+05
3.196800000000000086e+00 3.012535516716833808e+05
3.214300000000000157e+00 3.055178261859844788e+05
3.231899999999999995e+00 3.097982051891639712e+05
3.249400000000000066e+00 3.140744848240899737e+05
3.266999999999999904e+00 3.183647814707730431e+05
3.284600000000000186e+00 3.226583728304836550e+05
3.302099999999999813e+00 3.269442331341209938e+05
3.319700000000000095e+00 3.312409440233641653e+05
3.337299999999999933e+00 3.355375193160924246e+05
3.354800000000000004e+00 3.398226707188141881e+05
3.372399999999999842e+00 3.441154337907747831e+05
3.390000000000000124e+00 3.484045798841363285e+05
3.407500000000000195e+00 3.526785835003553075e+05
3.425100000000000033e+00 3.569569074331565644e+05
3.442699999999999871e+00 3.612281006435432355e+05
3.460199999999999942e+00 3.654804282271256670e+05
3.477799999999999780e+00 3.697337776427070494e+05
3.495400000000000063e+00 3.739764846339263022e+05
3.512900000000000134e+00 3.781966102953447844e+05
3.530499999999999972e+00 3.824144462867376860e+05
3.548000000000000043e+00 3.866072334183401545e+05
3.565599999999999881e+00 3.907955438116323785e+05
3.583200000000000163e+00 3.949673947886587703e+05
3.600699999999999790e+00 3.991105458096540533e+05
3.618300000000000072e+00 4.032459565822836012e+05
3.635899999999999910e+00 4.073614677298311726e+05
3.653399999999999981e+00 4.114446822963480954e+05
3.670999999999999819e+00 4.155169476668577990e+05
3.688600000000000101e+00 4.195659441608311608e+05
3.706100000000000172e+00 4.235791369782435359e+05
3.723700000000000010e+00 4.275782408977784216e+05
3.741299999999999848e+00 4.315507980885403813e+05
3.758799999999999919e+00 4.354841597704582382e+05
3.776400000000000201e+00 4.394003904300850700e+05
3.793899999999999828e+00 4.432752224088940420e+05
3.811500000000000110e+00 4.471309452419732115e+05
3.829099999999999948e+00 4.509549136190665886e+05
3.846600000000000019e+00 4.547343207964427420e+05
3.864199999999999857e+00 4.584917935256536584e+05
3.881800000000000139e+00 4.622145821608109400e+05
3.899300000000000210e+00 4.658897940979584237e+05
3.916900000000000048e+00 4.695403643409782089e+05
3.934499999999999886e+00 4.731534771864853683e+05
3.951999999999999957e+00 4.767161919837229070e+05
3.969599999999999795e+00 4.802517467157699284e+05
3.987200000000000077e+00 4.837472771067523281e+05
4.004699999999999704e+00 4.871897973300001468e+05
4.022300000000000431e+00 4.906028073534255382e+05
4.039900000000000269e+00 4.939734030842966749e+05
4.057400000000000340e+00 4.972885909202334005e+05
4.075000000000000178e+00 5.005721492844432942e+05
4.092500000000000249e+00 5.037988455195915885e+05
4.110100000000000087e+00 5.069925966825683136e+05
4.127699999999999925e+00 5.101404819570793188e+05
4.145199999999999996e+00 5.132295188732991810e+05
4.162799999999999834e+00 5.162838744772807695e+05
4.180399999999999672e+00 5.192906488527400070e+05
4.197899999999999743e+00 5.222368758835099288e+05
4.215499999999999581e+00 5.251469261092407396e+05
4.233100000000000307e+00 5.280079293796619168e+05
4.250600000000000378e+00 5.308069716244857991e+05
4.268200000000000216e+00 5.335686243557012640e+05
4.285800000000000054e+00 5.362800531403404893e+05
4.303300000000000125e+00 5.389284084219079232e+05
4.320899999999999963e+00 5.415384328756857431e+05
4.338400000000000034e+00 5.440848165899959859e+05
4.355999999999999872e+00 5.465924168234214885e+05
4.373599999999999710e+00 5.490485107952123508e+05
4.391099999999999781e+00 5.514403838269097032e+05
4.408699999999999619e+00 5.537930248682285892e+05
4.426300000000000345e+00 5.560937911862334004e+05
4.443800000000000416e+00 5.583300877120899968e+05
4.461400000000000254e+00 5.605270337280947715e+05
4.479000000000000092e+00 5.626720844051003223e+05
4.496500000000000163e+00 5.647527487319605425e+05
4.514100000000000001e+00 5.667942604437257396e+05
4.531699999999999839e+00 5.687841954700731440e+05
