# energy(eV) alpha
0.000000000000000000e+00 2.000407920873936707e+00
4.329999999999999821e-02 2.000449215808528525e+00
8.669999999999999929e-02 2.000581848938214335e+00
1.300000000000000044e-01 2.000797657190363399e+00
1.733000000000000096e-01 2.001112900633751579e+00
2.165999999999999870e-01 2.001510640069213753e+00
2.600000000000000089e-01 2.001991433825506039e+00
3.033000000000000140e-01 2.002571496436236220e+00
3.466000000000000192e-01 2.003234472191799398e+00
3.899000000000000243e-01 2.003996540955098382e+00
4.333000000000000185e-01 2.004840701033661521e+00
4.766000000000000236e-01 2.005784359890097068e+00
5.199000000000000288e-01 2.006817991547650060e+00
5.633000000000000229e-01 2.007950813908753851e+00
6.066000000000000281e-01 2.009181412806820166e+00
6.499000000000000332e-01 2.010510852596458342e+00
6.932000000000000384e-01 2.011921516677351196e+00
7.366000000000000325e-01 2.013454867830543282e+00
7.799000000000000377e-01 2.015094502634100948e+00
8.232000000000000428e-01 2.016822753796227552e+00
8.665000000000000480e-01 2.018672897157811619e+00
9.099000000000000421e-01 2.020628475035400662e+00
9.532000000000000473e-01 2.022696614388477698e+00
9.965000000000000524e-01 2.024885603698462155e+00
1.039800000000000058e+00 2.027187039447541306e+00
1.083199999999999941e+00 2.029607914311140071e+00
1.126500000000000057e+00 2.032165064700029333e+00
1.169799999999999951e+00 2.034857350897816275e+00
1.213200000000000056e+00 2.037676868152691778e+00
1.256499999999999950e+00 2.040638392013097935e+00
1.299800000000000066e+00 2.043741295273691527e+00
1.343099999999999961e+00 2.046994162225112213e+00
1.386500000000000066e+00 2.050411449887902471e+00
1.429799999999999960e+00 2.053992375358071332e+00
1.473100000000000076e+00 2.057736686525982073e+00
1.516399999999999970e+00 2.061667138939460742e+00
1.559800000000000075e+00 2.065791198319662847e+00
1.603099999999999969e+00 2.070099156965591103e+00
1.646400000000000086e+00 2.074629694831966464e+00
1.689799999999999969e+00 2.079381963569610470e+00
1.733100000000000085e+00 2.084362912653217492e+00
1.776399999999999979e+00 2.089601302281427042e+00
1.819700000000000095e+00 2.095112022376146577e+00
1.863099999999999978e+00 2.100908345334121741e+00
1.906400000000000095e+00 2.107027745953632181e+00
1.949699999999999989e+00 2.113475094789971642e+00
1.993000000000000105e+00 2.120302947550245065e+00
2.036399999999999988e+00 2.127554031987985983e+00
2.079699999999999882e+00 2.135270972663970479e+00
2.123000000000000220e+00 2.143527728343467498e+00
2.166300000000000114e+00 2.152426917981392851e+00
2.209700000000000220e+00 2.162100323019124026e+00
