# energy(eV) alpha
0.000000000000000000e+00 0.000000000000000000e+00
3.570000000000000256e-02 0.000000000000000000e+00
7.140000000000000513e-02 0.000000000000000000e+00
1.071000000000000008e-01 0.000000000000000000e+00
1.428000000000000103e-01 0.000000000000000000e+00
1.784999999999999920e-01 0.000000000000000000e+00
2.142000000000000015e-01 0.000000000000000000e+00
2.499000000000000110e-01 0.000000000000000000e+00
2.856000000000000205e-01 0.000000000000000000e+00
3.212999999999999745e-01 0.000000000000000000e+00
3.569999999999999840e-01 0.000000000000000000e+00
3.926999999999999935e-01 0.000000000000000000e+00
4.284000000000000030e-01 0.000000000000000000e+00
4.641000000000000125e-01 0.000000000000000000e+00
4.998000000000000220e-01 0.000000000000000000e+00
5.354999999999999760e-01 0.000000000000000000e+00
5.712000000000000410e-01 0.000000000000000000e+00
6.068999999999999950e-01 0.000000000000000000e+00
6.425999999999999490e-01 0.000000000000000000e+00
6.783000000000000140e-01 0.000000000000000000e+00
7.139999999999999680e-01 0.000000000000000000e+00
7.497000000000000330e-01 0.000000000000000000e+00
7.853999999999999870e-01 0.000000000000000000e+00
8.211000000000000520e-01 0.000000000000000000e+00
8.568000000000000060e-01 0.000000000000000000e+00
8.923999999999999710e-01 0.000000000000000000e+00
9.281000000000000361e-01 0.000000000000000000e+00
9.637999999999999901e-01 0.000000000000000000e+00
9.995000000000000551e-01 0.000000000000000000e+00
1.035199999999999898e+00 0.000000000000000000e+00
1.070899999999999963e+00 0.000000000000000000e+00
1.106600000000000028e+00 0.000000000000000000e+00
1.142300000000000093e+00 0.000000000000000000e+00
1.177999999999999936e+00 0.000000000000000000e+00
1.213700000000000001e+00 0.000000000000000000e+00
1.249400000000000066e+00 0.000000000000000000e+00
1.285099999999999909e+00 0.000000000000000000e+00
1.320799999999999974e+00 0.000000000000000000e+00
1.356500000000000039e+00 0.000000000000000000e+00
1.392200000000000104e+00 0.000000000000000000e+00
1.427899999999999947e+00 0.000000000000000000e+00
1.463600000000000012e+00 0.000000000000000000e+00
1.499300000000000077e+00 0.000000000000000000e+00
1.534999999999999920e+00 0.000000000000000000e+00
1.570699999999999985e+00 0.000000000000000000e+00
1.606400000000000050e+00 0.000000000000000000e+00
1.642099999999999893e+00 0.000000000000000000e+00
1.677799999999999958e+00 0.000000000000000000e+00
1.713500000000000023e+00 0.000000000000000000e+00
1.749200000000000088e+00 0.000000000000000000e+00
1.784899999999999931e+00 1.695538859101887041e+01
1.820599999999999996e+00 9.022016935379231484e+01
1.856300000000000061e+00 2.146512323703797449e+02
1.891999999999999904e+00 3.988011244644281419e+02
1.927699999999999969e+00 6.431675204483985908e+02
1.963400000000000034e+00 9.524873274168913895e+02
1.999100000000000099e+00 1.329167652423170921e+03
2.034800000000000164e+00 1.771604671064152399e+03
2.070500000000000007e+00 2.288527935413617342e+03
2.106199999999999850e+00 2.874002620458830279e+03
2.141900000000000137e+00 3.537036783410349017e+03
2.177599999999999980e+00 4.279974135255409237e+03
2.213299999999999823e+00 5.105675026009544126e+03
2.249000000000000110e+00 6.009693016001222531e+03
2.284699999999999953e+00 7.006275708311935887e+03
2.320399999999999796e+00 8.087008109163364679e+03
2.356100000000000083e+00 9.227378698268983499e+03
2.391799999999999926e+00 1.041906781203154242e+04
2.427500000000000213e+00 1.166878386860514547e+04
2.463200000000000056e+00 1.297538110346826579e+04
2.498899999999999899e+00 1.431551750460795120e+04
2.534600000000000186e+00 1.562564456850804891e+04
2.570300000000000029e+00 1.688942277179419034e+04
2.605999999999999872e+00 1.811718482550626504e+04
2.641700000000000159e+00 1.930542360552739046e+04
2.677299999999999791e+00 2.046514576239799135e+04
2.713000000000000078e+00 2.168693695141728313e+04
2.748699999999999921e+00 2.296989917122812767e+04
2.784400000000000208e+00 2.432953131418826524e+04
2.820100000000000051e+00 2.575625472516032096e+04
2.855799999999999894e+00 2.725678888443742471e+04
2.891500000000000181e+00 2.883294531878081034e+04
2.927200000000000024e+00 3.048505837345989494e+04
2.962899999999999867e+00 3.223805261900904225e+04
2.998600000000000154e+00 3.409020407933592651e+04
3.034299999999999997e+00 3.606333771987404907e+04
3.069999999999999840e+00 3.821333580342411733e+04
3.105700000000000127e+00 4.054101958169586578e+04
3.141399999999999970e+00 4.305697502899541723e+04
3.177099999999999813e+00 4.572822861845960142e+04
3.212800000000000100e+00 4.853655976847038983e+04
3.248499999999999943e+00 5.149800246942299418e+04
3.284199999999999786e+00 5.461094558610520471e+04
3.319900000000000073e+00 5.787749326634674799e+04
3.355599999999999916e+00 6.129423775913440477e+04
3.391300000000000203e+00 6.468870312659779302e+04
3.427000000000000046e+00 6.811503015106896055e+04
3.462699999999999889e+00 7.159753922331768263e+04
3.498400000000000176e+00 7.517949264226226660e+04
3.534100000000000019e+00 7.892380142064167012e+04
