# energy(eV) alpha
0.000000000000000000e+00 1.531453063759691036e+00
3.570000000000000256e-02 1.531463689498364644e+00
7.140000000000000513e-02 1.531507083553013349e+00
1.071000000000000008e-01 1.531604398379810217e+00
1.428000000000000103e-01 1.531723752550848916e+00
1.784999999999999920e-01 1.531875059536009553e+00
2.142000000000000015e-01 1.532059013424364347e+00
2.499000000000000110e-01 1.532275602569578510e+00
2.856000000000000205e-01 1.532535525318997616e+00
3.212999999999999745e-01 1.532827954667582704e+00
3.569999999999999840e-01 1.533152355167757053e+00
3.926999999999999935e-01 1.533519926440755743e+00
4.284000000000000030e-01 1.533909424209423777e+00
4.641000000000000125e-01 1.534352737789646870e+00
4.998000000000000220e-01 1.534827814432522475e+00
5.354999999999999760e-01 1.535335947771737652e+00
5.712000000000000410e-01 1.535886564232471274e+00
6.068999999999999950e-01 1.536469450796707381e+00
6.425999999999999490e-01 1.537095346376888161e+00
6.783000000000000140e-01 1.537764100034137771e+00
7.139999999999999680e-01 1.538465084055054222e+00
7.497000000000000330e-01 1.539208197437627490e+00
7.853999999999999870e-01 1.540005376150930028e+00
8.211000000000000520e-01 1.540834512332492467e+00
8.568000000000000060e-01 1.541716219376568997e+00
8.923999999999999710e-01 1.542630474835082754e+00
9.281000000000000361e-01 1.543597133649843300e+00
9.637999999999999901e-01 1.544617346103563493e+00
9.995000000000000551e-01 1.545679761533579111e+00
1.035199999999999898e+00 1.546805506727837676e+00
1.070899999999999963e+00 1.547973239959505420e+00
1.106600000000000028e+00 1.549193453983419566e+00
1.142300000000000093e+00 1.550487716145914519e+00
1.177999999999999936e+00 1.551812484194886821e+00
1.213700000000000001e+00 1.553222195676066564e+00
1.249400000000000066e+00 1.554683036220575243e+00
1.285099999999999909e+00 1.556217328413586509e+00
1.320799999999999974e+00 1.557824746917657599e+00
1.356500000000000039e+00 1.559504411585035166e+00
1.392200000000000104e+00 1.561256729586386172e+00
1.427899999999999947e+00 1.563091946047341363e+00
1.463600000000000012e+00 1.565030606665821278e+00
1.499300000000000077e+00 1.567061849676268048e+00
1.534999999999999920e+00 1.569174970459818130e+00
1.570699999999999985e+00 1.571422118039404348e+00
1.606400000000000050e+00 1.573781431649666107e+00
1.642099999999999893e+00 1.576305377114440631e+00
1.677799999999999958e+00 1.578961565464699568e+00
1.713500000000000023e+00 1.581811800736767193e+00
1.749200000000000088e+00 1.584907005683063419e+00
1.784899999999999931e+00 1.588319999834530982e+00
1.820599999999999996e+00 1.591963644890981744e+00
1.856300000000000061e+00 1.595796659022735930e+00
1.891999999999999904e+00 1.599755304341983653e+00
1.927699999999999969e+00 1.603808030700579979e+00
1.963400000000000034e+00 1.607933665424214675e+00
1.999100000000000099e+00 1.612092224187832601e+00
2.034800000000000164e+00 1.616283962773852334e+00
2.070500000000000007e+00 1.620458427520502287e+00
2.106199999999999850e+00 1.624627121630810578e+00
