# energy(eV) alpha
0.000000000000000000e+00 0.000000000000000000e+00
3.969999999999999918e-02 0.000000000000000000e+00
7.929999999999999549e-02 0.000000000000000000e+00
1.189999999999999947e-01 0.000000000000000000e+00
1.585999999999999910e-01 0.000000000000000000e+00
1.983000000000000040e-01 0.000000000000000000e+00
2.379999999999999893e-01 0.000000000000000000e+00
2.776000000000000134e-01 0.000000000000000000e+00
3.173000000000000265e-01 0.000000000000000000e+00
3.568999999999999950e-01 0.000000000000000000e+00
3.966000000000000081e-01 0.000000000000000000e+00
4.363000000000000211e-01 0.000000000000000000e+00
4.758999999999999897e-01 0.000000000000000000e+00
5.155999999999999472e-01 0.000000000000000000e+00
5.553000000000000158e-01 0.000000000000000000e+00
5.948999999999999844e-01 0.000000000000000000e+00
6.346000000000000529e-01 0.000000000000000000e+00
6.742000000000000215e-01 0.000000000000000000e+00
7.138999999999999790e-01 0.000000000000000000e+00
7.536000000000000476e-01 0.000000000000000000e+00
7.932000000000000162e-01 0.000000000000000000e+00
8.328999999999999737e-01 0.000000000000000000e+00
8.725000000000000533e-01 0.000000000000000000e+00
9.122000000000000108e-01 0.000000000000000000e+00
9.518999999999999684e-01 0.000000000000000000e+00
9.915000000000000480e-01 0.000000000000000000e+00
1.031199999999999894e+00 0.000000000000000000e+00
1.070799999999999974e+00 0.000000000000000000e+00
1.110500000000000043e+00 0.000000000000000000e+00
1.150199999999999889e+00 0.000000000000000000e+00
1.189799999999999969e+00 0.000000000000000000e+00
1.229500000000000037e+00 0.000000000000000000e+00
1.269099999999999895e+00 0.000000000000000000e+00
1.308799999999999963e+00 0.000000000000000000e+00
1.348500000000000032e+00 0.000000000000000000e+00
1.388099999999999890e+00 0.000000000000000000e+00
1.427799999999999958e+00 0.000000000000000000e+00
1.467400000000000038e+00 0.000000000000000000e+00
1.507100000000000106e+00 0.000000000000000000e+00
1.546799999999999953e+00 0.000000000000000000e+00
1.586400000000000032e+00 0.000000000000000000e+00
1.626100000000000101e+00 0.000000000000000000e+00
1.665799999999999947e+00 0.000000000000000000e+00
1.705400000000000027e+00 0.000000000000000000e+00
1.745100000000000096e+00 0.000000000000000000e+00
1.784699999999999953e+00 0.000000000000000000e+00
1.824400000000000022e+00 8.305838531869305541e+01
1.864100000000000090e+00 4.124777579973459183e+02
1.903699999999999948e+00 1.027140648819247644e+03
1.943400000000000016e+00 2.027835656599495678e+03
1.983000000000000096e+00 3.433024062375516223e+03
2.022699999999999942e+00 5.257783188310079822e+03
2.062399999999999789e+00 7.516389766618619433e+03
2.101999999999999869e+00 1.022240529074701772e+04
2.141700000000000159e+00 1.340176539464022062e+04
2.181299999999999795e+00 1.707140052974503124e+04
2.221000000000000085e+00 2.124054055618041093e+04
2.260699999999999932e+00 2.587939306561249759e+04
2.300300000000000011e+00 3.094605348921818586e+04
2.339999999999999858e+00 3.642965174043314619e+04
2.379599999999999937e+00 4.213970720389608323e+04
2.419299999999999784e+00 4.806043002722522942e+04
2.459000000000000075e+00 5.417148762317001820e+04
2.498600000000000154e+00 6.033142990732230101e+04
2.538300000000000001e+00 6.663461552533147915e+04
2.577900000000000080e+00 7.376336310727837554e+04
