# energy(eV) alpha
0.000000000000000000e+00 2.242255239031921477e+00
3.969999999999999918e-02 2.242336729318560096e+00
7.929999999999999549e-02 2.242543740320869006e+00
1.189999999999999947e-01 2.242906468131483422e+00
1.585999999999999910e-01 2.243401815887230644e+00
1.983000000000000040e-01 2.244052709460394812e+00
2.379999999999999893e-01 2.244836616420333719e+00
2.776000000000000134e-01 2.245767366787070785e+00
3.173000000000000265e-01 2.246853094028817388e+00
3.568999999999999950e-01 2.248093668076512675e+00
3.966000000000000081e-01 2.249473145911857763e+00
4.363000000000000211e-01 2.251014640088773611e+00
4.758999999999999897e-01 2.252708900280417481e+00
5.155999999999999472e-01 2.254556804124544733e+00
5.553000000000000158e-01 2.256572290082135002e+00
5.948999999999999844e-01 2.258755001342319879e+00
6.346000000000000529e-01 2.261104354487181389e+00
6.742000000000000215e-01 2.263612073044958706e+00
7.138999999999999790e-01 2.266300335207895422e+00
7.536000000000000476e-01 2.269182824056729331e+00
7.932000000000000162e-01 2.272243865448361433e+00
8.328999999999999737e-01 2.275497638464097694e+00
8.725000000000000533e-01 2.278951019218195206e+00
9.122000000000000108e-01 2.282601942069160117e+00
9.518999999999999684e-01 2.286479561417776640e+00
9.915000000000000480e-01 2.290560328381720190e+00
1.031199999999999894e+00 2.294879658161728120e+00
1.070799999999999974e+00 2.299443308474661940e+00
1.110500000000000043e+00 2.304249276246130851e+00
1.150199999999999889e+00 2.309318793437681983e+00
1.189799999999999969e+00 2.314656005471372957e+00
1.229500000000000037e+00 2.320295800123118202e+00
1.269099999999999895e+00 2.326235418300000912e+00
1.308799999999999963e+00 2.332500832817326231e+00
1.348500000000000032e+00 2.339111551857500082e+00
1.388099999999999890e+00 2.346092302634769311e+00
1.427799999999999958e+00 2.353461045062519741e+00
1.467400000000000038e+00 2.361263361102698077e+00
1.507100000000000106e+00 2.369523056624811108e+00
1.546799999999999953e+00 2.378291558403531347e+00
1.586400000000000032e+00 2.387618858227962271e+00
1.626100000000000101e+00 2.397567968642491998e+00
1.665799999999999947e+00 2.408221604571631591e+00
1.705400000000000027e+00 2.419680858397677881e+00
1.745100000000000096e+00 2.432113650921515990e+00
1.784699999999999953e+00 2.445807937837661594e+00
1.824400000000000022e+00 2.461028584178889478e+00
1.864100000000000090e+00 2.477714707955279483e+00
1.903699999999999948e+00 2.495592625057734715e+00
1.943400000000000016e+00 2.514388304141747188e+00
1.983000000000000096e+00 2.533748136059528200e+00
2.022699999999999942e+00 2.553423440609217554e+00
2.062399999999999789e+00 2.573250429164088970e+00
2.101999999999999869e+00 2.593050142377259171e+00
2.141700000000000159e+00 2.612659211572835094e+00
2.181299999999999795e+00 2.631904087263232661e+00
2.221000000000000085e+00 2.650536410153142786e+00
2.260699999999999932e+00 2.668325398091430323e+00
2.300300000000000011e+00 2.685196392313282221e+00
2.339999999999999858e+00 2.701002845139024888e+00
2.379599999999999937e+00 2.715813332433095972e+00
2.419299999999999784e+00 2.729968512856043361e+00
2.459000000000000075e+00 2.743767560183993481e+00
2.498600000000000154e+00 2.757741996004032359e+00
2.538300000000000001e+00 2.772958687182363935e+00
2.577900000000000080e+00 2.789733086937661533e+00
2.617599999999999927e+00 2.807227056520314790e+00
2.657300000000000217e+00 2.824118396345817406e+00
2.696899999999999853e+00 2.838467711184503806e+00
2.736600000000000144e+00 2.848880167113958084e+00
2.776299999999999990e+00 2.855606094941360418e+00
2.815900000000000070e+00 2.860462914528346445e+00
2.855599999999999916e+00 2.863844932703962787e+00
2.895199999999999996e+00 2.865638751744860713e+00
2.934899999999999842e+00 2.864904197603609148e+00
2.974600000000000133e+00 2.860216189922557106e+00
3.014200000000000212e+00 2.850680252442162388e+00
3.053900000000000059e+00 2.835754659466211525e+00
3.093500000000000139e+00 2.818314032624841037e+00
3.133199999999999985e+00 2.804995800338231593e+00
3.172899999999999832e+00 2.797467089655160777e+00
3.212499999999999911e+00 2.790971335039812207e+00
3.252200000000000202e+00 2.780729726613705655e+00
3.291799999999999837e+00 2.769563475551104492e+00
3.331500000000000128e+00 2.759275561499340501e+00
3.371199999999999974e+00 2.750610655552532258e+00
3.410800000000000054e+00 2.742210094100241413e+00
3.450499999999999901e+00 2.730719284628002619e+00
3.490099999999999980e+00 2.714161640785412999e+00
3.529799999999999827e+00 2.691296274959247725e+00
3.569500000000000117e+00 2.664049729054601912e+00
3.609100000000000197e+00 2.634708498634643625e+00
3.648800000000000043e+00 2.604216916262301673e+00
3.688400000000000123e+00 2.571522938593063579e+00
3.728099999999999969e+00 2.539395982333380708e+00
3.767799999999999816e+00 2.511095957827077285e+00
3.807399999999999896e+00 2.487525125033606788e+00
3.847100000000000186e+00 2.463500413049856785e+00
3.886800000000000033e+00 2.433535156104889907e+00
3.926400000000000112e+00 2.399402658457528315e+00
3.966099999999999959e+00 2.368715323965799868e+00
4.005700000000000038e+00 2.332889978942170650e+00
4.045399999999999885e+00 2.295450485317637401e+00
4.085099999999999731e+00 2.252432506029048653e+00
4.124699999999999811e+00 2.194732280722338391e+00
4.164399999999999658e+00 2.141192696073917823e+00
4.203999999999999737e+00 2.088820107562800565e+00
4.243699999999999584e+00 2.040507062507734837e+00
4.283400000000000318e+00 1.993190494339307506e+00
4.323000000000000398e+00 1.951081136160206286e+00
4.362700000000000244e+00 1.913068504017638505e+00
4.402300000000000324e+00 1.878693157932644464e+00
4.442000000000000171e+00 1.848924842080791109e+00
4.481700000000000017e+00 1.818847678624857522e+00
4.521300000000000097e+00 1.790086304069429257e+00
4.560999999999999943e+00 1.761752722153472561e+00
4.600600000000000023e+00 1.732539459202207199e+00
