# energy(eV) alpha
0.000000000000000000e+00 0.000000000000000000e+00
3.320000000000000034e-02 0.000000000000000000e+00
6.650000000000000355e-02 0.000000000000000000e+00
9.969999999999999696e-02 0.000000000000000000e+00
1.328999999999999904e-01 0.000000000000000000e+00
1.661999999999999866e-01 0.000000000000000000e+00
1.993999999999999939e-01 0.000000000000000000e+00
2.326000000000000012e-01 0.000000000000000000e+00
2.659000000000000252e-01 0.000000000000000000e+00
2.990999999999999770e-01 0.000000000000000000e+00
3.322999999999999843e-01 0.000000000000000000e+00
3.655999999999999805e-01 0.000000000000000000e+00
3.987999999999999878e-01 0.000000000000000000e+00
4.319999999999999951e-01 0.000000000000000000e+00
4.652999999999999914e-01 0.000000000000000000e+00
4.984999999999999987e-01 0.000000000000000000e+00
5.316999999999999504e-01 0.000000000000000000e+00
5.649999999999999467e-01 0.000000000000000000e+00
5.981999999999999540e-01 0.000000000000000000e+00
6.314999999999999503e-01 0.000000000000000000e+00
6.646999999999999575e-01 0.000000000000000000e+00
6.978999999999999648e-01 0.000000000000000000e+00
7.311999999999999611e-01 0.000000000000000000e+00
7.643999999999999684e-01 0.000000000000000000e+00
7.975999999999999757e-01 0.000000000000000000e+00
8.308999999999999719e-01 0.000000000000000000e+00
8.640999999999999792e-01 0.000000000000000000e+00
8.972999999999999865e-01 0.000000000000000000e+00
9.305999999999999828e-01 0.000000000000000000e+00
9.637999999999999901e-01 0.000000000000000000e+00
9.969999999999999973e-01 0.000000000000000000e+00
1.030299999999999994e+00 0.000000000000000000e+00
1.063499999999999890e+00 0.000000000000000000e+00
1.096700000000000008e+00 0.000000000000000000e+00
1.129999999999999893e+00 6.411005096320361751e+00
1.163200000000000012e+00 5.616505998697209634e+01
1.196399999999999908e+00 1.603530912338938208e+02
1.229700000000000015e+00 3.216906160929839302e+02
1.262899999999999912e+00 5.437407894666378070e+02
1.296100000000000030e+00 8.301148318806058342e+02
1.329399999999999915e+00 1.184400360541910004e+03
1.362600000000000033e+00 1.607316276983221542e+03
1.395799999999999930e+00 2.108801312506430349e+03
1.429100000000000037e+00 2.687443097874922842e+03
1.462299999999999933e+00 3.347382489935200283e+03
1.495500000000000052e+00 4.093856379315777758e+03
1.528799999999999937e+00 4.926281180521759779e+03
1.562000000000000055e+00 5.851912587792829981e+03
1.595199999999999951e+00 6.872903261883900086e+03
1.628500000000000059e+00 7.993680849765547464e+03
1.661699999999999955e+00 9.217214488652682121e+03
1.694900000000000073e+00 1.052474262790744069e+04
1.728199999999999958e+00 1.189887001558100201e+04
1.761400000000000077e+00 1.334151612542168550e+04
1.794599999999999973e+00 1.485334604264514383e+04
1.827900000000000080e+00 1.643803343870550816e+04
1.861099999999999977e+00 1.807929479781387272e+04
1.894400000000000084e+00 1.971782179776690828e+04
1.927599999999999980e+00 2.130771130349928353e+04
1.960800000000000098e+00 2.283421656220377190e+04
1.994099999999999984e+00 2.424972111668881189e+04
2.027299999999999880e+00 2.558081072445880272e+04
2.060500000000000220e+00 2.699309034026514200e+04
2.093799999999999883e+00 2.851896580460313635e+04
2.126999999999999780e+00 3.015806510650650671e+04
2.160200000000000120e+00 3.191885342757217586e+04
2.193499999999999783e+00 3.383384719835308351e+04
2.226700000000000124e+00 3.590730717739128886e+04
2.259900000000000020e+00 3.819547330996196251e+04
2.293200000000000127e+00 4.076382489095118217e+04
2.326400000000000023e+00 4.362829892585289053e+04
2.359599999999999920e+00 4.667794954837481055e+04
2.392900000000000027e+00 4.981223914617674745e+04
