# energy(eV) alpha
0.000000000000000000e+00 1.704566967869586280e+00
3.320000000000000034e-02 1.704605772835124045e+00
6.650000000000000355e-02 1.704712107901866336e+00
9.969999999999999696e-02 1.704906539723955561e+00
1.328999999999999904e-01 1.705168461123768520e+00
1.661999999999999866e-01 1.705497622129093838e+00
1.993999999999999939e-01 1.705905345270420037e+00
2.326000000000000012e-01 1.706399271396129125e+00
2.659000000000000252e-01 1.706971630315329280e+00
2.990999999999999770e-01 1.707610338182315335e+00
3.322999999999999843e-01 1.708346134664948224e+00
3.655999999999999805e-01 1.709149598671861670e+00
3.987999999999999878e-01 1.710039866923375840e+00
4.319999999999999951e-01 1.711015709164287246e+00
4.652999999999999914e-01 1.712078713437817701e+00
4.984999999999999987e-01 1.713227190683916712e+00
5.316999999999999504e-01 1.714471859248390517e+00
5.649999999999999467e-01 1.715811627543258000e+00
5.981999999999999540e-01 1.717246485819721835e+00
6.314999999999999503e-01 1.718776187148884471e+00
6.646999999999999575e-01 1.720420018168105303e+00
6.978999999999999648e-01 1.722167434746208814e+00
7.311999999999999611e-01 1.724037843920570356e+00
7.643999999999999684e-01 1.726030606964613856e+00
7.975999999999999757e-01 1.728135329798337949e+00
8.308999999999999719e-01 1.730390469442973700e+00
8.640999999999999792e-01 1.732784573530268712e+00
8.972999999999999865e-01 1.735328105029862344e+00
9.305999999999999828e-01 1.738038832575992787e+00
9.637999999999999901e-01 1.740934583502725008e+00
9.969999999999999973e-01 1.744052530928830169e+00
1.030299999999999994e+00 1.747382045265927886e+00
1.063499999999999890e+00 1.750977425953992084e+00
1.096700000000000008e+00 1.754913218997705471e+00
1.129999999999999893e+00 1.759279875329840426e+00
1.163200000000000012e+00 1.764066030342263502e+00
1.196399999999999908e+00 1.769145945427879951e+00
1.229700000000000015e+00 1.774443879296236704e+00
1.262899999999999912e+00 1.779903422010949754e+00
1.296100000000000030e+00 1.785486970372236470e+00
1.329399999999999915e+00 1.791129918985434388e+00
1.362600000000000033e+00 1.796834290111440247e+00
1.395799999999999930e+00 1.802545838483776919e+00
1.429100000000000037e+00 1.808257886799120584e+00
1.462299999999999933e+00 1.813918205308909792e+00
1.495500000000000052e+00 1.819511715678290509e+00
1.528799999999999937e+00 1.825013757928875435e+00
1.562000000000000055e+00 1.830375185703577490e+00
1.595199999999999951e+00 1.835582354120371296e+00
1.628500000000000059e+00 1.840567530262587015e+00
1.661699999999999955e+00 1.845263379554165528e+00
1.694900000000000073e+00 1.849618364085430233e+00
1.728199999999999958e+00 1.853644523025070656e+00
1.761400000000000077e+00 1.857363695480483745e+00
1.794599999999999973e+00 1.860789878815089615e+00
1.827900000000000080e+00 1.863846764341739792e+00
