# energy(eV) alpha
0.000000000000000000e+00 0.000000000000000000e+00
1.750000000000000167e-02 0.000000000000000000e+00
3.500000000000000333e-02 0.000000000000000000e+00
5.249999999999999806e-02 0.000000000000000000e+00
7.000000000000000666e-02 0.000000000000000000e+00
8.749999999999999445e-02 0.000000000000000000e+00
1.049999999999999961e-01 0.000000000000000000e+00
1.224999999999999978e-01 0.000000000000000000e+00
1.400000000000000133e-01 0.000000000000000000e+00
1.575000000000000011e-01 0.000000000000000000e+00
1.749999999999999889e-01 0.000000000000000000e+00
1.925000000000000044e-01 0.000000000000000000e+00
2.099999999999999922e-01 0.000000000000000000e+00
2.275000000000000078e-01 0.000000000000000000e+00
2.449999999999999956e-01 0.000000000000000000e+00
2.625000000000000111e-01 0.000000000000000000e+00
2.800000000000000266e-01 0.000000000000000000e+00
2.974999999999999867e-01 0.000000000000000000e+00
3.150000000000000022e-01 0.000000000000000000e+00
3.325000000000000178e-01 0.000000000000000000e+00
3.499999999999999778e-01 0.000000000000000000e+00
3.674999999999999933e-01 0.000000000000000000e+00
3.850000000000000089e-01 0.000000000000000000e+00
4.025000000000000244e-01 0.000000000000000000e+00
4.199999999999999845e-01 0.000000000000000000e+00
4.375999999999999890e-01 0.000000000000000000e+00
4.551000000000000045e-01 0.000000000000000000e+00
4.726000000000000201e-01 0.000000000000000000e+00
4.900999999999999801e-01 0.000000000000000000e+00
5.076000000000000512e-01 0.000000000000000000e+00
5.251000000000000112e-01 0.000000000000000000e+00
5.425999999999999712e-01 0.000000000000000000e+00
5.601000000000000423e-01 0.000000000000000000e+00
5.776000000000000023e-01 0.000000000000000000e+00
5.950999999999999623e-01 0.000000000000000000e+00
6.126000000000000334e-01 0.000000000000000000e+00
6.300999999999999934e-01 0.000000000000000000e+00
6.475999999999999535e-01 0.000000000000000000e+00
6.651000000000000245e-01 0.000000000000000000e+00
6.825999999999999845e-01 0.000000000000000000e+00
7.000999999999999446e-01 0.000000000000000000e+00
7.176000000000000156e-01 0.000000000000000000e+00
7.350999999999999757e-01 0.000000000000000000e+00
7.526000000000000467e-01 0.000000000000000000e+00
7.701000000000000068e-01 0.000000000000000000e+00
7.875999999999999668e-01 0.000000000000000000e+00
8.051000000000000378e-01 0.000000000000000000e+00
8.225999999999999979e-01 0.000000000000000000e+00
8.400999999999999579e-01 0.000000000000000000e+00
8.576000000000000290e-01 0.000000000000000000e+00
8.750999999999999890e-01 0.000000000000000000e+00
8.925999999999999490e-01 0.000000000000000000e+00
9.101000000000000201e-01 0.000000000000000000e+00
9.275999999999999801e-01 0.000000000000000000e+00
9.451000000000000512e-01 0.000000000000000000e+00
9.626000000000000112e-01 0.000000000000000000e+00
9.800999999999999712e-01 0.000000000000000000e+00
9.976000000000000423e-01 0.000000000000000000e+00
1.015099999999999891e+00 0.000000000000000000e+00
1.032599999999999962e+00 0.000000000000000000e+00
1.050100000000000033e+00 0.000000000000000000e+00
1.067600000000000104e+00 0.000000000000000000e+00
1.085099999999999953e+00 0.000000000000000000e+00
1.102600000000000025e+00 0.000000000000000000e+00
1.120100000000000096e+00 0.000000000000000000e+00
1.137599999999999945e+00 0.000000000000000000e+00
1.155100000000000016e+00 0.000000000000000000e+00
1.172600000000000087e+00 5.812659152230276394e-05
1.190099999999999936e+00 6.417116790969902042e-03
1.207600000000000007e+00 1.826830803205907738e-01
1.225100000000000078e+00 1.507893679890095262e+00
1.242599999999999927e+00 4.969526122145791369e+00
1.260099999999999998e+00 9.562426861518451560e+00
1.277600000000000069e+00 1.416419106070238598e+01
1.295099999999999918e+00 1.948049804726795387e+01
1.312699999999999978e+00 2.646233463963488930e+01
1.330200000000000049e+00 3.570486917349200695e+01
1.347699999999999898e+00 4.788496569970730121e+01
1.365199999999999969e+00 6.416961600304726687e+01
1.382700000000000040e+00 8.659156051891977768e+01
1.400199999999999889e+00 1.158183651572240933e+02
1.417699999999999960e+00 1.522608908241969914e+02
1.435200000000000031e+00 1.982786094955141323e+02
1.452700000000000102e+00 2.563835563464646725e+02
1.470199999999999951e+00 3.293556250528113765e+02
1.487700000000000022e+00 4.203699349205248836e+02
1.505200000000000093e+00 5.330869223706441744e+02
1.522699999999999942e+00 6.717359455454192130e+02
1.540200000000000014e+00 8.411066282778920140e+02
1.557700000000000085e+00 1.046533235292968129e+03
1.575199999999999934e+00 1.293917491645133850e+03
1.592700000000000005e+00 1.589723544945488129e+03
1.610200000000000076e+00 1.940904434479158226e+03
1.627699999999999925e+00 2.354850132839888374e+03
1.645199999999999996e+00 2.839294840247838238e+03
1.662700000000000067e+00 3.402181866283243380e+03
1.680199999999999916e+00 4.051572845042622703e+03
1.697699999999999987e+00 4.795719734779277132e+03
1.715200000000000058e+00 5.643021237696401840e+03
1.732699999999999907e+00 6.600969645279848010e+03
1.750199999999999978e+00 7.675501614852852072e+03
1.767700000000000049e+00 8.871466827663187360e+03
1.785199999999999898e+00 1.019316177034164139e+04
1.802699999999999969e+00 1.164265586865204386e+04
1.820200000000000040e+00 1.322085923676626408e+04
1.837699999999999889e+00 1.492760484553840797e+04
1.855199999999999960e+00 1.676095987981705912e+04
1.872700000000000031e+00 1.871572024413920008e+04
1.890200000000000102e+00 2.078477162419467277e+04
1.907699999999999951e+00 2.295771927192595103e+04
1.925200000000000022e+00 2.521951359951953418e+04
1.942700000000000093e+00 2.755713064892771581e+04
1.960199999999999942e+00 2.995568481817395150e+04
1.977700000000000014e+00 3.239856626936509201e+04
1.995200000000000085e+00 3.486876092044526013e+04
2.012700000000000156e+00 3.734843777415446675e+04
2.030199999999999783e+00 3.982023774143433548e+04
2.047699999999999854e+00 4.226838003593852773e+04
2.065199999999999925e+00 4.467967081205125578e+04
2.082699999999999996e+00 4.704327238183308509e+04
2.100200000000000067e+00 4.935194168375683512e+04
2.117700000000000138e+00 5.160330021245517855e+04
2.135200000000000209e+00 5.380058343001236062e+04
2.152699999999999836e+00 5.595283074320564629e+04
2.170199999999999907e+00 5.807473923978032690e+04
2.187800000000000189e+00 6.018923973736594780e+04
2.205299999999999816e+00 6.231728217634946486e+04
2.222799999999999887e+00 6.449442811100473773e+04
2.240299999999999958e+00 6.675842188887437806e+04
2.257800000000000029e+00 6.915114261125394842e+04
2.275300000000000100e+00 7.171761948336519708e+04
2.292800000000000171e+00 7.450482795041504141e+04
2.310299999999999798e+00 7.756019178384880070e+04
2.327799999999999869e+00 8.093016714221809525e+04
2.345299999999999940e+00 8.465910782176935754e+04
2.362800000000000011e+00 8.878772022053413093e+04
2.380300000000000082e+00 9.335106398048152914e+04
2.397800000000000153e+00 9.837726489169655542e+04
2.415299999999999780e+00 1.038880250978107797e+05
2.432799999999999851e+00 1.098953784610317525e+05
2.450299999999999923e+00 1.164015295693717344e+05
2.467799999999999994e+00 1.233992956173363928e+05
2.485300000000000065e+00 1.308727894917402446e+05
2.502800000000000136e+00 1.387971894050305418e+05
2.520300000000000207e+00 1.471382610860690475e+05
2.537799999999999834e+00 1.558530654302506882e+05
2.555299999999999905e+00 1.648913533866269572e+05
2.572799999999999976e+00 1.741960844607393665e+05
2.590300000000000047e+00 1.837050538229819795e+05
2.607800000000000118e+00 1.933511006217968243e+05
2.625300000000000189e+00 2.030631506659051811e+05
2.642799999999999816e+00 2.127713887745435059e+05
2.660299999999999887e+00 2.224082510136196215e+05
2.677799999999999958e+00 2.319061933668647835e+05
2.695300000000000029e+00 2.412004972534739645e+05
2.712800000000000100e+00 2.502342835963435646e+05
2.730300000000000171e+00 2.589580981469421240e+05
2.747799999999999798e+00 2.673321061906802352e+05
2.765299999999999869e+00 2.753282524067804334e+05
2.782799999999999940e+00 2.829306804826541338e+05
2.800300000000000011e+00 2.901372425083843409e+05
2.817800000000000082e+00 2.969602566225581686e+05
2.835300000000000153e+00 3.034262236684602685e+05
2.852799999999999780e+00 3.095755438344064751e+05
2.870299999999999851e+00 3.154625170129879843e+05
2.887799999999999923e+00 3.211538022388417739e+05
2.905299999999999994e+00 3.267266383530808962e+05
2.922800000000000065e+00 3.322668957543785800e+05
2.940300000000000136e+00 3.378659909718596027e+05
2.957800000000000207e+00 3.436181969174902770e+05
2.975299999999999834e+00 3.496170706943388213e+05
2.992799999999999905e+00 3.559516417553136125e+05
3.010299999999999976e+00 3.627059527032112819e+05
3.027800000000000047e+00 3.699589412189107388e+05
3.045300000000000118e+00 3.777784199425200932e+05
3.062899999999999956e+00 3.862288074051151052e+05
3.080400000000000027e+00 3.953234885688903742e+05
3.097900000000000098e+00 4.051006020907263155e+05
3.115400000000000169e+00 4.155723162736520753e+05
3.132899999999999796e+00 4.267364010286612902e+05
3.150399999999999867e+00 4.385763633333957405e+05
3.167899999999999938e+00 4.510659046159309219e+05
3.185400000000000009e+00 4.641683191494722851e+05
3.202900000000000080e+00 4.778347720173799316e+05
3.220400000000000151e+00 4.920085102141131065e+05
3.237899999999999778e+00 5.066263295619371347e+05
3.255399999999999849e+00 5.216199566504601389e+05
3.272899999999999920e+00 5.369176989616071805e+05
3.290399999999999991e+00 5.524456150089738658e+05
3.307900000000000063e+00 5.681288105149565963e+05
3.325400000000000134e+00 5.838929034467519959e+05
3.342900000000000205e+00 5.996650834903828800e+05
3.360399999999999832e+00 6.153749762709317729e+05
3.377899999999999903e+00 6.309557188588635763e+05
3.395399999999999974e+00 6.463446649186584400e+05
3.412900000000000045e+00 6.614838155516410479e+05
