# energy(eV) alpha
0.000000000000000000e+00 0.000000000000000000e+00
1.770000000000000046e-02 0.000000000000000000e+00
3.529999999999999805e-02 0.000000000000000000e+00
5.299999999999999850e-02 0.000000000000000000e+00
7.069999999999999896e-02 0.000000000000000000e+00
8.840000000000000635e-02 0.000000000000000000e+00
1.059999999999999970e-01 0.000000000000000000e+00
1.237000000000000044e-01 0.000000000000000000e+00
1.413999999999999979e-01 0.000000000000000000e+00
1.590999999999999914e-01 0.000000000000000000e+00
1.766999999999999960e-01 0.000000000000000000e+00
1.943999999999999895e-01 0.000000000000000000e+00
2.121000000000000107e-01 0.000000000000000000e+00
2.296999999999999875e-01 0.000000000000000000e+00
2.474000000000000088e-01 0.000000000000000000e+00
2.651000000000000023e-01 0.000000000000000000e+00
2.827999999999999958e-01 0.000000000000000000e+00
3.004000000000000004e-01 0.000000000000000000e+00
3.180999999999999939e-01 0.000000000000000000e+00
3.357999999999999874e-01 0.000000000000000000e+00
3.534999999999999809e-01 0.000000000000000000e+00
3.710999999999999854e-01 0.000000000000000000e+00
3.887999999999999790e-01 0.000000000000000000e+00
4.064999999999999725e-01 0.000000000000000000e+00
4.242000000000000215e-01 0.000000000000000000e+00
4.418000000000000260e-01 0.000000000000000000e+00
4.595000000000000195e-01 0.000000000000000000e+00
4.772000000000000131e-01 0.000000000000000000e+00
4.948000000000000176e-01 0.000000000000000000e+00
5.124999999999999556e-01 0.000000000000000000e+00
5.302000000000000046e-01 0.000000000000000000e+00
5.479000000000000536e-01 0.000000000000000000e+00
5.655000000000000027e-01 0.000000000000000000e+00
5.832000000000000517e-01 0.000000000000000000e+00
6.008999999999999897e-01 0.000000000000000000e+00
6.186000000000000387e-01 0.000000000000000000e+00
6.361999999999999877e-01 0.000000000000000000e+00
6.539000000000000368e-01 0.000000000000000000e+00
6.715999999999999748e-01 0.000000000000000000e+00
6.892000000000000348e-01 0.000000000000000000e+00
7.068999999999999728e-01 0.000000000000000000e+00
7.246000000000000218e-01 0.000000000000000000e+00
7.422999999999999599e-01 0.000000000000000000e+00
7.599000000000000199e-01 0.000000000000000000e+00
7.775999999999999579e-01 0.000000000000000000e+00
7.953000000000000069e-01 0.000000000000000000e+00
8.129999999999999449e-01 0.000000000000000000e+00
8.306000000000000050e-01 0.000000000000000000e+00
8.483000000000000540e-01 0.000000000000000000e+00
8.659999999999999920e-01 0.000000000000000000e+00
8.837000000000000410e-01 0.000000000000000000e+00
9.012999999999999901e-01 0.000000000000000000e+00
9.190000000000000391e-01 0.000000000000000000e+00
9.366999999999999771e-01 0.000000000000000000e+00
9.543000000000000371e-01 0.000000000000000000e+00
9.719999999999999751e-01 0.000000000000000000e+00
9.897000000000000242e-01 0.000000000000000000e+00
1.007400000000000073e+00 0.000000000000000000e+00
1.024999999999999911e+00 0.000000000000000000e+00
1.042699999999999960e+00 0.000000000000000000e+00
1.060400000000000009e+00 0.000000000000000000e+00
1.078100000000000058e+00 0.000000000000000000e+00
1.095699999999999896e+00 0.000000000000000000e+00
1.113399999999999945e+00 0.000000000000000000e+00
1.131099999999999994e+00 0.000000000000000000e+00
1.148700000000000054e+00 0.000000000000000000e+00
1.166400000000000103e+00 0.000000000000000000e+00
1.184099999999999930e+00 0.000000000000000000e+00
1.201799999999999979e+00 0.000000000000000000e+00
1.219400000000000039e+00 0.000000000000000000e+00
1.237100000000000088e+00 0.000000000000000000e+00
1.254799999999999915e+00 0.000000000000000000e+00
1.272499999999999964e+00 0.000000000000000000e+00
1.290100000000000025e+00 0.000000000000000000e+00
1.307800000000000074e+00 0.000000000000000000e+00
1.325499999999999901e+00 0.000000000000000000e+00
1.343099999999999961e+00 0.000000000000000000e+00
1.360800000000000010e+00 0.000000000000000000e+00
1.378500000000000059e+00 0.000000000000000000e+00
1.396200000000000108e+00 2.207992551105855881e-05
1.413799999999999946e+00 2.931325044546182965e-03
1.431499999999999995e+00 9.949906416842711765e-02
1.449200000000000044e+00 8.869755540421628837e-01
1.466900000000000093e+00 2.695275275810216087e+00
1.484499999999999931e+00 4.467507299663346032e+00
1.502199999999999980e+00 6.440706663827178602e+00
1.519900000000000029e+00 9.861069278820677297e+00
1.537600000000000078e+00 1.484255420915840595e+01
1.555199999999999916e+00 2.063571413088636675e+01
1.572899999999999965e+00 2.791227671714926473e+01
1.590600000000000014e+00 3.749695067647355273e+01
1.608200000000000074e+00 5.028990910956903093e+01
1.625899999999999901e+00 6.772146694588022342e+01
1.643599999999999950e+00 9.055508612660612755e+01
1.661299999999999999e+00 1.191110324634154409e+02
1.678900000000000059e+00 1.552621219550420051e+02
1.696600000000000108e+00 2.011688384715683071e+02
1.714299999999999935e+00 2.589668315032955093e+02
1.731999999999999984e+00 3.311311369394021540e+02
1.749600000000000044e+00 4.206193274092793217e+02
1.767300000000000093e+00 5.310008060703565889e+02
1.784999999999999920e+00 6.661501510211591039e+02
1.802599999999999980e+00 8.304486950134270273e+02
1.820300000000000029e+00 1.028957651003944875e+03
1.838000000000000078e+00 1.266845760894789237e+03
1.855699999999999905e+00 1.549853085430249848e+03
1.873299999999999965e+00 1.884309354916965276e+03
1.891000000000000014e+00 2.277176917856410455e+03
1.908700000000000063e+00 2.735177923373785688e+03
1.926399999999999890e+00 3.265247096732575756e+03
1.943999999999999950e+00 3.874377908694284997e+03
1.961699999999999999e+00 4.569872011488632779e+03
1.979400000000000048e+00 5.358583695598573286e+03
1.997100000000000097e+00 6.247118965389145160e+03
