# energy(eV) alpha
0.000000000000000000e+00 0.000000000000000000e+00
1.919999999999999832e-02 -5.706382797485683113e+03
3.849999999999999950e-02 -1.135241960129119798e+04
5.770000000000000129e-02 -1.681326888519170097e+04
7.699999999999999900e-02 -2.208472874305730875e+04
9.619999999999999385e-02 -2.705028433559667974e+04
1.155000000000000054e-01 -3.171295389591327694e+04
1.346999999999999864e-01 -3.596935083174346801e+04
1.539999999999999980e-01 -3.983230148842909693e+04
1.731999999999999929e-01 -4.321507527148625377e+04
1.925000000000000044e-01 -4.614166814380067080e+04
2.116999999999999993e-01 -4.854395845593386184e+04
2.310000000000000109e-01 -5.045707592779240804e+04
2.501999999999999780e-01 -5.183175372174641961e+04
2.695000000000000173e-01 -5.271279690817190567e+04
2.887000000000000122e-01 -5.306835161228774814e+04
3.079999999999999960e-01 -5.295009695817373722e+04
3.271999999999999909e-01 -5.234056715861096018e+04
3.464999999999999747e-01 -5.129425422992437234e+04
3.657000000000000250e-01 -4.980351049199805857e+04
3.850000000000000089e-01 -4.792017348612502246e+04
4.042000000000000037e-01 -4.563989286576470477e+04
4.234999999999999876e-01 -4.300395127383012004e+04
4.426999999999999824e-01 -4.000076006971523020e+04
4.620000000000000218e-01 -3.664633455959260027e+04
4.812000000000000166e-01 -3.289806347631154495e+04
5.004999999999999449e-01 -2.870358261673413290e+04
5.197000000000000508e-01 -2.389516710761337890e+04
5.390000000000000346e-01 -1.808845937778735242e+04
5.582000000000000295e-01 -9.719689458368658961e+03
5.775000000000000133e-01 -3.267485138571405656e+01
5.967000000000000082e-01 -1.537805638854498547e+01
6.159999999999999920e-01 -9.680058316088496539e+00
6.351999999999999869e-01 -6.644453664839201856e+00
6.544999999999999707e-01 -4.735111202669751940e+00
6.736999999999999655e-01 -3.433133927640232397e+00
6.929999999999999494e-01 -2.508131839915707761e+00
7.122000000000000552e-01 -1.835559665006693875e+00
7.315000000000000391e-01 -1.341595936798903210e+00
7.507000000000000339e-01 -9.769491078540681883e-01
7.700000000000000178e-01 -7.079752094780952243e-01
7.892000000000000126e-01 -5.099076473367555318e-01
8.084999999999999964e-01 -3.647764526342740510e-01
8.276999999999999913e-01 -2.589098448669465147e-01
8.469999999999999751e-01 -1.821977136381723594e-01
8.661999999999999700e-01 -1.269217924071265602e-01
8.854999999999999538e-01 -4.960768851288340636e-02
9.046999999999999487e-01 4.324453267775159489e-03
9.240000000000000435e-01 4.303344428144839640e-03
9.432000000000000384e-01 4.285225624623005374e-03
9.625000000000000222e-01 4.269783028938434200e-03
9.817000000000000171e-01 4.255419355051988546e-03
1.000899999999999901e+00 4.242006582160229300e-03
1.020199999999999996e+00 4.229332030921757919e-03
1.039400000000000102e+00 4.215981947552904785e-03
1.058699999999999974e+00 4.202177176658494773e-03
1.077900000000000080e+00 4.186540628450548425e-03
1.097199999999999953e+00 4.169249857720084933e-03
1.116400000000000059e+00 4.148997606516028995e-03
1.135699999999999932e+00 4.125997931938722545e-03
1.154900000000000038e+00 4.099096042523342476e-03
1.174199999999999910e+00 4.068630666078358431e-03
1.193400000000000016e+00 4.033592171100035088e-03
1.212699999999999889e+00 3.994510419166393163e-03
1.231899999999999995e+00 3.950626615638459967e-03
1.251200000000000090e+00 3.902627343478570765e-03
1.270399999999999974e+00 3.850096780100879194e-03
1.289700000000000069e+00 3.793909598175086110e-03
1.308899999999999952e+00 3.733917610233561390e-03
1.328200000000000047e+00 3.671223863695634911e-03
1.347399999999999931e+00 3.605946986051359552e-03
1.366700000000000026e+00 3.539325275231893549e-03
1.385899999999999910e+00 3.471644867033774062e-03
1.405200000000000005e+00 3.404289805722271467e-03
1.424400000000000110e+00 3.337645386527773091e-03
1.443699999999999983e+00 3.273087369045413197e-03
1.462900000000000089e+00 3.211042971813071745e-03
1.482199999999999962e+00 3.152859880287905980e-03
1.501400000000000068e+00 3.098850518571320215e-03
1.520699999999999941e+00 3.050179078312472477e-03
1.539900000000000047e+00 3.007079236224304616e-03
1.559199999999999919e+00 2.970505436465487037e-03
1.578400000000000025e+00 2.940504290892912657e-03
1.597699999999999898e+00 2.917790221675412802e-03
1.616900000000000004e+00 2.902210133112722353e-03
1.636200000000000099e+00 2.894245956961564396e-03
1.655399999999999983e+00 2.893553239176801292e-03
1.674700000000000077e+00 2.900390960676920479e-03
1.693899999999999961e+00 2.914270084044545683e-03
1.713200000000000056e+00 2.935251847411279869e-03
1.732399999999999940e+00 2.962697399384003113e-03
1.751700000000000035e+00 2.996582009416215442e-03
1.770899999999999919e+00 3.036171943011348965e-03
1.790200000000000014e+00 3.081401378018711057e-03
1.809399999999999897e+00 3.131518225786796613e-03
1.828699999999999992e+00 3.186462641307249207e-03
1.847900000000000098e+00 3.245501111579803585e-03
1.867199999999999971e+00 3.308631116973733462e-03
1.886400000000000077e+00 3.375185002703062764e-03
1.905699999999999950e+00 3.445276104753721477e-03
1.924900000000000055e+00 3.518363613380870447e-03
1.944099999999999939e+00 3.594535755744014075e-03
1.963400000000000034e+00 3.674019499835404993e-03
1.982599999999999918e+00 3.756612233923798620e-03
2.001900000000000013e+00 3.863975211083688684e-03
2.021100000000000119e+00 6.708832324594737884e-03
2.040399999999999991e+00 1.318103337218469451e-01
2.059600000000000097e+00 1.232214986268931112e+00
2.078899999999999970e+00 3.621590525365826263e+00
2.098100000000000076e+00 6.665849657459774313e+00
2.117399999999999949e+00 1.093049676602500142e+01
2.136600000000000055e+00 1.584470878241765490e+01
2.155899999999999928e+00 2.215484100594783357e+01
2.175100000000000033e+00 3.070018533278906148e+01
2.194399999999999906e+00 4.227491178230116731e+01
2.213600000000000012e+00 5.834394214369689990e+01
2.232899999999999885e+00 8.063898916733364786e+01
2.252099999999999991e+00 1.096546415580241813e+02
2.271399999999999864e+00 1.469294573421623227e+02
2.290599999999999969e+00 1.950943737334689843e+02
2.309899999999999842e+00 2.570607384511185955e+02
2.329099999999999948e+00 3.361186365991055709e+02
2.348399999999999821e+00 4.361641334162480348e+02
2.367599999999999927e+00 5.616560732817862345e+02
2.386899999999999800e+00 7.178559844411623772e+02
