# energy(eV) alpha
0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000042e-02 0.000000000000000000e+00
4.000000000000000083e-02 0.000000000000000000e+00
6.010000000000000064e-02 0.000000000000000000e+00
8.010000000000000453e-02 0.000000000000000000e+00
1.000999999999999945e-01 0.000000000000000000e+00
1.200999999999999984e-01 0.000000000000000000e+00
1.401999999999999913e-01 0.000000000000000000e+00
1.602000000000000091e-01 0.000000000000000000e+00
1.801999999999999991e-01 0.000000000000000000e+00
2.001999999999999891e-01 0.000000000000000000e+00
2.202999999999999958e-01 0.000000000000000000e+00
2.403000000000000136e-01 0.000000000000000000e+00
2.602999999999999758e-01 0.000000000000000000e+00
2.802999999999999936e-01 0.000000000000000000e+00
3.004000000000000004e-01 0.000000000000000000e+00
3.204000000000000181e-01 0.000000000000000000e+00
3.403999999999999804e-01 0.000000000000000000e+00
3.603999999999999981e-01 0.000000000000000000e+00
3.805000000000000049e-01 0.000000000000000000e+00
4.005000000000000226e-01 0.000000000000000000e+00
4.204999999999999849e-01 0.000000000000000000e+00
4.405000000000000027e-01 0.000000000000000000e+00
4.606000000000000094e-01 0.000000000000000000e+00
4.806000000000000272e-01 0.000000000000000000e+00
5.006000000000000449e-01 0.000000000000000000e+00
5.205999999999999517e-01 0.000000000000000000e+00
5.406999999999999584e-01 0.000000000000000000e+00
5.606999999999999762e-01 0.000000000000000000e+00
5.806999999999999940e-01 0.000000000000000000e+00
6.007000000000000117e-01 0.000000000000000000e+00
6.207000000000000295e-01 0.000000000000000000e+00
6.408000000000000362e-01 0.000000000000000000e+00
6.608000000000000540e-01 0.000000000000000000e+00
6.807999999999999607e-01 0.000000000000000000e+00
7.007999999999999785e-01 0.000000000000000000e+00
7.208999999999999853e-01 0.000000000000000000e+00
7.409000000000000030e-01 0.000000000000000000e+00
7.609000000000000208e-01 0.000000000000000000e+00
7.809000000000000385e-01 0.000000000000000000e+00
8.010000000000000453e-01 0.000000000000000000e+00
8.209999999999999520e-01 0.000000000000000000e+00
8.409999999999999698e-01 0.000000000000000000e+00
8.609999999999999876e-01 0.000000000000000000e+00
8.810999999999999943e-01 0.000000000000000000e+00
9.011000000000000121e-01 0.000000000000000000e+00
9.211000000000000298e-01 0.000000000000000000e+00
9.411000000000000476e-01 0.000000000000000000e+00
9.612000000000000544e-01 0.000000000000000000e+00
9.811999999999999611e-01 0.000000000000000000e+00
1.001200000000000090e+00 0.000000000000000000e+00
1.021200000000000108e+00 0.000000000000000000e+00
1.041299999999999892e+00 0.000000000000000000e+00
1.061299999999999910e+00 0.000000000000000000e+00
1.081299999999999928e+00 0.000000000000000000e+00
1.101299999999999946e+00 0.000000000000000000e+00
1.121399999999999952e+00 0.000000000000000000e+00
1.141399999999999970e+00 0.000000000000000000e+00
1.161399999999999988e+00 0.000000000000000000e+00
1.181400000000000006e+00 0.000000000000000000e+00
1.201500000000000012e+00 0.000000000000000000e+00
1.221500000000000030e+00 0.000000000000000000e+00
1.241500000000000048e+00 0.000000000000000000e+00
1.261500000000000066e+00 0.000000000000000000e+00
1.281500000000000083e+00 0.000000000000000000e+00
1.301600000000000090e+00 0.000000000000000000e+00
1.321600000000000108e+00 0.000000000000000000e+00
1.341599999999999904e+00 0.000000000000000000e+00
1.361599999999999921e+00 0.000000000000000000e+00
1.381699999999999928e+00 0.000000000000000000e+00
1.401699999999999946e+00 0.000000000000000000e+00
1.421699999999999964e+00 0.000000000000000000e+00
1.441699999999999982e+00 0.000000000000000000e+00
1.461799999999999988e+00 0.000000000000000000e+00
1.481800000000000006e+00 0.000000000000000000e+00
1.501800000000000024e+00 0.000000000000000000e+00
1.521800000000000042e+00 0.000000000000000000e+00
1.541900000000000048e+00 0.000000000000000000e+00
1.561900000000000066e+00 0.000000000000000000e+00
1.581900000000000084e+00 0.000000000000000000e+00
1.601900000000000102e+00 0.000000000000000000e+00
1.622000000000000108e+00 0.000000000000000000e+00
1.641999999999999904e+00 0.000000000000000000e+00
1.661999999999999922e+00 0.000000000000000000e+00
1.681999999999999940e+00 0.000000000000000000e+00
1.702099999999999946e+00 0.000000000000000000e+00
1.722099999999999964e+00 0.000000000000000000e+00
1.742099999999999982e+00 0.000000000000000000e+00
1.762100000000000000e+00 0.000000000000000000e+00
1.782200000000000006e+00 0.000000000000000000e+00
1.802200000000000024e+00 0.000000000000000000e+00
1.822200000000000042e+00 0.000000000000000000e+00
1.842200000000000060e+00 0.000000000000000000e+00
1.862200000000000077e+00 0.000000000000000000e+00
1.882300000000000084e+00 0.000000000000000000e+00
1.902300000000000102e+00 0.000000000000000000e+00
1.922299999999999898e+00 0.000000000000000000e+00
1.942299999999999915e+00 0.000000000000000000e+00
1.962399999999999922e+00 0.000000000000000000e+00
1.982399999999999940e+00 0.000000000000000000e+00
2.002400000000000180e+00 0.000000000000000000e+00
2.022400000000000198e+00 0.000000000000000000e+00
2.042499999999999982e+00 0.000000000000000000e+00
2.062500000000000000e+00 0.000000000000000000e+00
2.082500000000000018e+00 0.000000000000000000e+00
2.102500000000000036e+00 0.000000000000000000e+00
2.122599999999999820e+00 0.000000000000000000e+00
2.142599999999999838e+00 0.000000000000000000e+00
2.162599999999999856e+00 0.000000000000000000e+00
2.182599999999999874e+00 0.000000000000000000e+00
2.202700000000000102e+00 0.000000000000000000e+00
2.222700000000000120e+00 0.000000000000000000e+00
2.242700000000000138e+00 0.000000000000000000e+00
2.262700000000000156e+00 0.000000000000000000e+00
2.282799999999999940e+00 0.000000000000000000e+00
2.302799999999999958e+00 0.000000000000000000e+00
2.322799999999999976e+00 0.000000000000000000e+00
2.342799999999999994e+00 0.000000000000000000e+00
2.362899999999999778e+00 0.000000000000000000e+00
2.382899999999999796e+00 0.000000000000000000e+00
2.402899999999999814e+00 0.000000000000000000e+00
2.422899999999999832e+00 0.000000000000000000e+00
2.443000000000000060e+00 0.000000000000000000e+00
2.463000000000000078e+00 0.000000000000000000e+00
2.483000000000000096e+00 0.000000000000000000e+00
2.503000000000000114e+00 0.000000000000000000e+00
2.523000000000000131e+00 0.000000000000000000e+00
2.543099999999999916e+00 0.000000000000000000e+00
2.563099999999999934e+00 0.000000000000000000e+00
