# energy(eV) alpha
0.000000000000000000e+00 0.000000000000000000e+00
3.899999999999999994e-02 0.000000000000000000e+00
7.799999999999999989e-02 0.000000000000000000e+00
1.170000000000000068e-01 0.000000000000000000e+00
1.559999999999999998e-01 0.000000000000000000e+00
1.950999999999999956e-01 0.000000000000000000e+00
2.341000000000000025e-01 0.000000000000000000e+00
2.731000000000000094e-01 0.000000000000000000e+00
3.120999999999999885e-01 0.000000000000000000e+00
3.511000000000000232e-01 0.000000000000000000e+00
3.901000000000000023e-01 0.000000000000000000e+00
4.290999999999999814e-01 0.000000000000000000e+00
4.681000000000000161e-01 0.000000000000000000e+00
5.070999999999999952e-01 0.000000000000000000e+00
5.462000000000000188e-01 0.000000000000000000e+00
5.852000000000000535e-01 0.000000000000000000e+00
6.241999999999999771e-01 0.000000000000000000e+00
6.632000000000000117e-01 0.000000000000000000e+00
7.022000000000000464e-01 0.000000000000000000e+00
7.411999999999999700e-01 0.000000000000000000e+00
7.802000000000000046e-01 0.000000000000000000e+00
8.192000000000000393e-01 0.000000000000000000e+00
8.581999999999999629e-01 0.000000000000000000e+00
8.971999999999999975e-01 0.000000000000000000e+00
9.363000000000000211e-01 0.000000000000000000e+00
9.752999999999999448e-01 0.000000000000000000e+00
1.014299999999999979e+00 0.000000000000000000e+00
1.053299999999999903e+00 0.000000000000000000e+00
1.092300000000000049e+00 0.000000000000000000e+00
1.131299999999999972e+00 0.000000000000000000e+00
1.170299999999999896e+00 0.000000000000000000e+00
1.209300000000000042e+00 0.000000000000000000e+00
1.248299999999999965e+00 0.000000000000000000e+00
1.287400000000000100e+00 0.000000000000000000e+00
1.326400000000000023e+00 0.000000000000000000e+00
1.365399999999999947e+00 0.000000000000000000e+00
1.404400000000000093e+00 0.000000000000000000e+00
1.443400000000000016e+00 0.000000000000000000e+00
1.482399999999999940e+00 0.000000000000000000e+00
1.521400000000000086e+00 0.000000000000000000e+00
1.560400000000000009e+00 0.000000000000000000e+00
1.599399999999999933e+00 0.000000000000000000e+00
1.638500000000000068e+00 0.000000000000000000e+00
1.677499999999999991e+00 0.000000000000000000e+00
1.716499999999999915e+00 0.000000000000000000e+00
1.755500000000000060e+00 0.000000000000000000e+00
1.794499999999999984e+00 5.035314451654089751e+00
1.833499999999999908e+00 1.730421804127157657e+02
1.872500000000000053e+00 5.787915096765688077e+02
1.911499999999999977e+00 1.279213703471679992e+03
1.950499999999999901e+00 2.356095579971984534e+03
1.989600000000000035e+00 3.826266618826973627e+03
2.028599999999999959e+00 5.699354583761248250e+03
2.067600000000000104e+00 7.992171711365725969e+03
2.106599999999999806e+00 1.071642055948864618e+04
2.145599999999999952e+00 1.389653853727374917e+04
2.184600000000000097e+00 1.754737729601773026e+04
2.223599999999999799e+00 2.168309440806884595e+04
2.262599999999999945e+00 2.625924379182882330e+04
2.301600000000000090e+00 3.124714519385640961e+04
2.340700000000000003e+00 3.663775477024682186e+04
2.379700000000000149e+00 4.225214138687075319e+04
2.418699999999999850e+00 4.807449942923585331e+04
2.457699999999999996e+00 5.409443263188587298e+04
2.496700000000000141e+00 6.017405475780845154e+04
2.535699999999999843e+00 6.635970865870427224e+04
2.574699999999999989e+00 7.333516976137686288e+04
2.613700000000000134e+00 8.138286597868512035e+04
2.652699999999999836e+00 9.096073641330331156e+04
2.691699999999999982e+00 1.019586862492660730e+05
2.730799999999999894e+00 1.139886404007972451e+05
2.769800000000000040e+00 1.260072192309963284e+05
2.808800000000000185e+00 1.381589308059282776e+05
2.847799999999999887e+00 1.507152738084283483e+05
2.886800000000000033e+00 1.639201329152807884e+05
2.925800000000000178e+00 1.780291898632739612e+05
2.964799999999999880e+00 1.927910854378663644e+05
3.003800000000000026e+00 2.078165785528009292e+05
3.042800000000000171e+00 2.224978180901703017e+05
3.081900000000000084e+00 2.344405913739328680e+05
3.120899999999999785e+00 2.443231414842006052e+05
3.159899999999999931e+00 2.544528014271488355e+05
3.198900000000000077e+00 2.674904573942822753e+05
3.237899999999999778e+00 2.810094735158542753e+05
3.276899999999999924e+00 2.938819451997030992e+05
3.315900000000000070e+00 3.067309252080633887e+05
3.354900000000000215e+00 3.197035136806343799e+05
3.393899999999999917e+00 3.348631934641161934e+05
3.432999999999999829e+00 3.516906942752734176e+05
3.471999999999999975e+00 3.697809773805597797e+05
3.511000000000000121e+00 3.876234329693780164e+05
3.549999999999999822e+00 4.048969389368991251e+05
3.588999999999999968e+00 4.207007603121106513e+05
3.628000000000000114e+00 4.361226627207102138e+05
3.666999999999999815e+00 4.502794257514120545e+05
3.705999999999999961e+00 4.623600530566372909e+05
3.745000000000000107e+00 4.729158101773325470e+05
3.784100000000000019e+00 4.837904956650335807e+05
3.823100000000000165e+00 4.976538135193811613e+05
3.862099999999999866e+00 5.136211229165644036e+05
3.901100000000000012e+00 5.281842146108495072e+05
3.940100000000000158e+00 5.371144736342238029e+05
3.979099999999999859e+00 5.579375754305197624e+05
4.018099999999999561e+00 5.709905567844787147e+05
4.057100000000000151e+00 5.903424509082840523e+05
4.096099999999999852e+00 6.037636209224509075e+05
