# energy(eV) alpha
0.000000000000000000e+00 0.000000000000000000e+00
2.069999999999999965e-02 0.000000000000000000e+00
4.130000000000000338e-02 0.000000000000000000e+00
6.199999999999999956e-02 0.000000000000000000e+00
8.260000000000000675e-02 0.000000000000000000e+00
1.033000000000000029e-01 0.000000000000000000e+00
1.239999999999999991e-01 0.000000000000000000e+00
1.446000000000000063e-01 0.000000000000000000e+00
1.653000000000000025e-01 0.000000000000000000e+00
1.859999999999999987e-01 0.000000000000000000e+00
2.066000000000000059e-01 0.000000000000000000e+00
2.273000000000000020e-01 0.000000000000000000e+00
2.479000000000000092e-01 0.000000000000000000e+00
2.686000000000000054e-01 0.000000000000000000e+00
2.893000000000000016e-01 0.000000000000000000e+00
3.099000000000000088e-01 0.000000000000000000e+00
3.306000000000000050e-01 0.000000000000000000e+00
3.513000000000000012e-01 0.000000000000000000e+00
3.719000000000000083e-01 0.000000000000000000e+00
3.926000000000000045e-01 0.000000000000000000e+00
4.132000000000000117e-01 0.000000000000000000e+00
4.339000000000000079e-01 0.000000000000000000e+00
4.546000000000000041e-01 0.000000000000000000e+00
4.752000000000000113e-01 0.000000000000000000e+00
4.959000000000000075e-01 0.000000000000000000e+00
5.165999999999999481e-01 0.000000000000000000e+00
5.372000000000000108e-01 0.000000000000000000e+00
5.578999999999999515e-01 0.000000000000000000e+00
5.785000000000000142e-01 0.000000000000000000e+00
5.991999999999999549e-01 0.000000000000000000e+00
6.199000000000000066e-01 0.000000000000000000e+00
6.404999999999999583e-01 0.000000000000000000e+00
6.612000000000000099e-01 0.000000000000000000e+00
6.818999999999999506e-01 0.000000000000000000e+00
7.025000000000000133e-01 0.000000000000000000e+00
7.231999999999999540e-01 0.000000000000000000e+00
7.438000000000000167e-01 3.303163003166067480e+00
7.644999999999999574e-01 2.708054430781149691e+01
7.852000000000000091e-01 7.274376541907440696e+01
8.057999999999999607e-01 1.425529328680837864e+02
8.265000000000000124e-01 2.373196803654140012e+02
8.471999999999999531e-01 3.599259359858703533e+02
8.678000000000000158e-01 5.102407277695228345e+02
8.884999999999999565e-01 6.914906471206631977e+02
9.091000000000000192e-01 9.032542733893211562e+02
9.297999999999999599e-01 1.147998403364300202e+03
9.505000000000000115e-01 1.427832812490036304e+03
9.710999999999999632e-01 1.742401544224454256e+03
9.918000000000000149e-01 2.094196285144903868e+03
1.012399999999999967e+00 2.483284364896565876e+03
1.033099999999999907e+00 2.914257865577727443e+03
1.053800000000000070e+00 3.384637205387641643e+03
1.074400000000000022e+00 3.897246711850275005e+03
1.095099999999999962e+00 4.455064315677539525e+03
1.115799999999999903e+00 5.057303671110906180e+03
1.136400000000000077e+00 5.705969004258378845e+03
1.157100000000000017e+00 6.402277387536632887e+03
1.177699999999999969e+00 7.148649164612608729e+03
1.198399999999999910e+00 7.946797944214436029e+03
1.219100000000000072e+00 8.796737055465435333e+03
1.239700000000000024e+00 9.702291139214250506e+03
1.260399999999999965e+00 1.066276858562585949e+04
1.281099999999999905e+00 1.167894996171433559e+04
1.301700000000000079e+00 1.273535723121254705e+04
1.322400000000000020e+00 1.382688451909251853e+04
1.342999999999999972e+00 1.495069222523799726e+04
1.363699999999999912e+00 1.611073948904273311e+04
1.384400000000000075e+00 1.730537534579482599e+04
1.405000000000000027e+00 1.853653666058751696e+04
1.425699999999999967e+00 1.980429195143116158e+04
1.446399999999999908e+00 2.110767731649646521e+04
1.467000000000000082e+00 2.240940850725362907e+04
1.487700000000000022e+00 2.370485076952776217e+04
1.508299999999999974e+00 2.498744061477248397e+04
1.528999999999999915e+00 2.622859860493270025e+04
1.549700000000000077e+00 2.742061748277362494e+04
1.570300000000000029e+00 2.854186432405973028e+04
1.590999999999999970e+00 2.956280240806100119e+04
1.611699999999999910e+00 3.047290986064582466e+04
1.632300000000000084e+00 3.136270081958466835e+04
1.653000000000000025e+00 3.230869552969961660e+04
1.673599999999999977e+00 3.330865554454863741e+04
1.694299999999999917e+00 3.436868287115483690e+04
1.715000000000000080e+00 3.549186168266300228e+04
1.735600000000000032e+00 3.668358726930199191e+04
1.756299999999999972e+00 3.795833113064090867e+04
1.776999999999999913e+00 3.931392548431388423e+04
1.797600000000000087e+00 4.075406919169623870e+04
1.818300000000000027e+00 4.231603606123133795e+04
1.838899999999999979e+00 4.400513120119852829e+04
1.859599999999999920e+00 4.583600227000642190e+04
1.880300000000000082e+00 4.780544718662189553e+04
1.900900000000000034e+00 4.983644353071200749e+04
1.921599999999999975e+00 5.191259060057214083e+04
1.942199999999999926e+00 5.403454670636115043e+04
1.962900000000000089e+00 5.621509568468044745e+04
1.983600000000000030e+00 5.846337878527936846e+04
2.004199999999999982e+00 6.078882031922882743e+04
